ef,recall,qps,distance_computations_per_query
1700,0.9605,0.829951,1836620
1400,0.96,1.01796,1599190
1100,0.959,1.28141,1329870
1000,0.9585,1.42685,1230670
900,0.958,1.66542,1126500
800,0.958,1.82395,1016100
700,0.9575,2.10881,898161
600,0.9555,2.42943,769186
500,0.952,3.04883,635233
400,0.95,3.87958,500365
300,0.947,5.17853,374950
250,0.946,5.31124,320941
200,0.9425,6.68852,273441
180,0.942,8.0694,256436
160,0.941,7.5523,239283
140,0.939,9.18231,223180
120,0.9385,10.5747,206709
100,0.936,12.0388,187779
90,0.9335,12.9685,177596
80,0.932,14.1004,166535
70,0.9305,15.6311,153352
60,0.9275,17.6398,138751
55,0.926,18.884,130763
50,0.923,20.4353,122070
45,0.921,22.6116,113215
40,0.918,24.975,103479
35,0.916,27.9838,93388.8
30,0.91,31.8928,82836.3
25,0.898,37.5587,71391.3
20,0.891,45.3721,59913.7
15,0.8855,57.7201,48143.5
10,0.864,80.8407,35297.7
