ef,recall,qps,distance_computations_per_query
1700,0.975,0.433812,2211610
1400,0.9735,0.467077,1991870
1100,0.972,0.579586,1740840
1000,0.9715,0.583473,1648500
900,0.9695,0.656694,1551120
800,0.9685,0.709232,1452520
700,0.968,0.777297,1347980
600,0.967,0.77966,1235720
500,0.966,0.948061,1104520
400,0.9595,1.17551,953021
300,0.958,1.50927,788058
250,0.9555,1.78209,694648
200,0.9545,2.19889,591084
180,0.954,2.41686,547053
160,0.9525,2.67867,502448
140,0.9505,2.99267,455202
120,0.948,3.44863,401647
100,0.942,3.8227,346802
90,0.941,4.27433,320094
80,0.9385,4.95393,292592
70,0.9355,5.17317,262564
60,0.933,6.27294,232209
55,0.9325,6.79717,216820
50,0.9265,7.02198,198622
45,0.924,6.94879,182488
40,0.918,8.18398,162860
35,0.905,10.6923,143658
30,0.89,12.3009,126663
25,0.8745,14.3277,110568
20,0.862,17.1306,95210.7
15,0.8275,21.554,78538.4
10,0.7705,30.326,59451.2
