ef,recall,qps,distance_computations_per_query
1700,0.5925,1.97375,406257
1400,0.5925,1.97064,406257
1100,0.5925,1.97804,406257
1000,0.5925,2.08117,406257
900,0.5925,2.05002,406257
800,0.5925,2.10393,406257
700,0.5925,2.00572,406257
600,0.5925,2.00763,406257
500,0.5925,2.00491,406257
400,0.5925,2.01086,406257
300,0.5925,1.997,406257
250,0.5925,1.98916,406253
200,0.5925,2.00582,404932
180,0.5925,2.05149,402767
160,0.5925,2.13356,398191
140,0.5925,2.18723,390952
120,0.5925,2.26629,380513
100,0.5925,2.53277,364423
90,0.5925,2.5582,353083
80,0.5925,2.63696,341299
70,0.5925,2.96692,324552
60,0.5925,3.1977,307427
55,0.59,3.28326,297764
50,0.59,3.43702,287471
45,0.59,3.73762,276333
40,0.59,3.87484,265420
35,0.59,4.03592,255638
30,0.59,4.35398,240084
25,0.59,4.82218,220755
20,0.59,5.29521,203862
15,0.585,5.88668,181278
10,0.585,7.67902,141973
