Loaded fvecs: 40 vectors of dimension 1024 from ./quantile_partitions/ytb_video_overlap/ytb_video_overlap_Q3_query.fvecs
Loaded label sets: 40
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 1024 from /root/work/data/filterbenchmark/ytb_video/ytb_video_base.fvecs
Rebuilding two-tier inverted index for 160018 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 3862 labels (freq >= 2)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.0719641 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 40
Example: first query has 10
431362,605724,609383,432534,898565,382115,909541,380462,434457,392649,
ef,recall,qps,dist_comp,hops
1700,0.825,61.8335,25972,1700.33
1400,0.815,69.6459,23377.5,1400.53
1100,0.775,83.4452,20055.4,1100.78
1000,0.755,90.3368,18749.4,1000.6
900,0.745,101.158,17316.1,900.525
800,0.72,111.642,15748.3,800.525
700,0.6975,126.173,14113,701
600,0.6775,145.135,12379.9,601.175
500,0.6425,172.433,10529.2,501.3
400,0.6025,213.632,8600.33,401.725
300,0.5125,283.688,6582.3,302.325
250,0.485,339.426,5562.5,253.6
200,0.45,420.201,4532.7,205.475
180,0.4325,466.227,4108.77,185.6
160,0.42,524.521,3694.5,166.475
140,0.395,594.25,3288.65,147.95
120,0.355,690.118,2848.88,127.925
100,0.32,800.701,2475.32,110.875
90,0.305,883.135,2247.25,100.55
80,0.2625,988.607,2014.03,88.7
70,0.2275,1139.17,1761.33,76.075
60,0.22,1280.22,1571.03,67.725
55,0.215,1375.41,1469.3,63.25
50,0.19,1542.36,1317,56.525
45,0.175,1669.96,1214.5,52.075
40,0.1575,1798.31,1132.22,48.375
35,0.145,1993.96,1029.53,43.825
30,0.1425,2123.22,972.75,41.35
25,0.1425,2111.54,972.75,41.35
20,0.1425,2107.31,972.75,41.35
15,0.1425,2107.62,972.75,41.35
10,0.1425,2098.95,972.75,41.35
