Loaded fvecs: 200 vectors of dimension 128 from ./quantile_partitions/ytb_audio_overlap/ytb_audio_overlap_Q1_query.fvecs
Loaded label sets: 200
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
3303100,3671385,2535258,3289312,2549033,1883571,2002745,1774034,583571,3324995,
ef,recall,qps,dist_comp,hops
1700,0.923,226.56,6983.51,1510.28
1400,0.9145,270.331,6390.2,1265.33
1100,0.901,329.677,5652.04,1010.88
1000,0.896,357.732,5363.37,925.18
900,0.89,390.492,5050.63,838.97
800,0.885,429.586,4708.73,752.07
700,0.8735,479.754,4337.63,664.06
600,0.8665,546.965,3932.25,575.31
500,0.852,638.631,3483.08,485.56
400,0.834,772.048,2985.05,394.775
300,0.8115,993.008,2402.92,299.76
250,0.7905,1168.9,2084.26,251.735
200,0.77,1414.12,1756.3,204.3
180,0.7545,1554.27,1620.97,185.105
160,0.731,1714.07,1476.29,165.39
140,0.7135,1920.56,1328.29,145.705
120,0.6935,2201.56,1170.46,125.415
100,0.6645,2572.88,1009.47,105.265
90,0.648,2805.25,935.085,95.855
80,0.631,3071.67,859.59,86.53
70,0.6085,3424.06,773.85,76.285
60,0.583,3864.93,691.185,66.575
55,0.5735,4115.58,650.59,61.87
50,0.5545,4442.14,608.495,56.89
45,0.5415,4776.9,565.615,52.04
40,0.5265,5153.59,524.78,47.375
35,0.512,5666.36,482.465,42.43
30,0.5045,6052,458.915,39.805
25,0.5045,6013.61,458.875,39.78
20,0.5045,5990.62,458.825,39.755
15,0.5045,6009.92,458.785,39.73
10,0.5045,6031.83,458.64,39.705
