GT,Result
546408 359112 932414 910255 516777 272489 234023 577744 914442 236325 ,359112 910255 516777 914442 236325 221793 444473 441455 788644 488569 
281207 800795 356189 144930 33642 270789 653965 414364 529273 498350 ,281207 356189 270789 529273 42934 830388 104646 868962 61128 440473 
226843 264434 780574 563913 913986 556531 291898 182497 941025 879558 ,780574 941025 879558 907299 100577 737839 184413 919367 201730 807630 
284311 90390 227566 468693 297312 629266 382394 813804 684813 601063 ,284311 90390 813804 684813 601063 249243 507604 807484 861751 93625 
196988 372498 369104 294455 460548 574920 592799 391885 189256 885535 ,372498 460548 574920 592799 391885 885535 526403 711656 987146 977711 
141348 370497 421234 222947 974596 662373 248538 50745 414406 592672 ,141348 370497 662373 414406 90951 671149 104496 391494 417440 556208 
201533 931105 223716 811523 961146 786737 936958 711798 441692 419642 ,201533 223716 811523 786737 936958 441692 231602 680359 683308 943153 
180111 764155 548894 344173 378227 393689 331347 276714 427637 612844 ,180111 764155 548894 344173 393689 331347 276714 427637 225322 607377 
927179 595546 620952 395248 974867 875692 779329 39217 861973 393853 ,927179 620952 395248 875692 779329 39217 861973 718322 348133 186422 
183362 165975 659315 967765 30308 366912 692288 323088 348895 591478 ,659315 967765 30308 366912 692288 323088 348895 591478 490293 172202 
893870 110949 554605 826035 853073 341207 240040 242110 593133 693468 ,110949 99493 713089 286162 636063 238354 977964 708016 64224 692241 
775240 18629 511316 897692 74506 9069 31037 808435 264428 71842 ,775240 511316 897692 74506 9069 31037 808435 264428 71842 2975 
502688 507242 220690 796457 84344 882621 401370 148339 356512 809247 ,502688 507242 220690 796457 84344 882621 356512 809247 36227 965807 
28895 791203 323330 982079 633853 846933 201854 328176 802950 253127 ,28895 323330 328176 846054 230430 189760 495445 841257 174923 494570 
518610 283237 700374 313552 167088 856730 233225 731628 831122 205133 ,283237 700374 233225 831122 205133 825643 622180 46826 274844 585293 
469514 13469 412284 618554 767773 101567 485324 55752 171949 921535 ,412284 618554 767773 485324 171949 470013 547945 805217 301818 701867 
