L,Cmps,QPS,Recall
1700,9982,243.902,95.95
1400,9341,271.37,95
1100,8510,308.642,93.45
1000,8171,323.625,92.65
900,7801,341.297,91.8
800,7389,364.299,91
700,6923,373.832,89.7
600,6398,418.41,89.2
500,5789,462.963,87.3
400,5096,520.833,85.3
300,4268,600.601,82.5
250,3795,668.896,81.15
200,3266,746.269,78.7
180,3030,781.25,77.7
160,2787,833.333,76.7
140,2537,896.861,75.45
120,2267,961.538,73.9
100,1985,1047.12,71.2
90,1833,1098.9,69.7
80,1683,1156.07,68.7
70,1525,1226.99,67.35
60,1353,1307.19,64.65
55,1266,1351.35,63.45
50,1183,1398.6,62.4
45,1099,1449.28,61.05
40,1003,1515.15,59.4
35,904,1574.8,57.85
30,814,1666.67,56.15
25,710,1769.91,53.65
20,603,1886.79,50.35
15,491,2040.82,46.1
10,370,2222.22,40.5
