GT,Result
608946 223795 538276 596718 786760 913772 680401 726916 814730 845503 ,608946 223795 538276 596718 786760 913772 680401 726916 814730 845503 
953906 801926 113571 720698 841655 245442 347832 394419 128275 563230 ,953906 801926 113571 720698 841655 245442 347832 394419 128275 563230 
718712 3355 678551 768720 271497 607289 35406 877070 137649 134160 ,718712 3355 678551 768720 271497 607289 35406 877070 137649 134160 
872548 868225 698840 937843 545508 291311 23101 935485 170066 431526 ,872548 868225 698840 937843 545508 291311 23101 935485 170066 431526 
286809 743380 973518 585711 178244 700662 612376 173520 765666 974779 ,286809 743380 973518 585711 178244 700662 612376 173520 765666 974779 
40990 528037 130320 41917 678312 783643 734106 970096 708110 506052 ,40990 528037 130320 41917 678312 783643 734106 970096 708110 506052 
176309 505056 998055 639521 143681 112326 617387 116013 866054 68758 ,176309 505056 998055 639521 143681 112326 617387 116013 866054 68758 
119260 648539 300733 18130 416855 520068 725835 752583 748475 166239 ,119260 648539 300733 18130 416855 520068 725835 752583 748475 166239 
932324 899156 254542 670104 647484 309981 785130 254301 167139 379129 ,932324 899156 254542 670104 647484 309981 785130 254301 167139 379129 
173580 78057 772137 425115 43291 355791 481873 671110 499068 728803 ,173580 78057 772137 425115 43291 355791 481873 671110 499068 728803 
135660 18261 715930 280321 503043 631330 141037 435567 272928 305270 ,135660 18261 715930 280321 503043 631330 141037 435567 272928 305270 
700726 726867 244838 97693 466442 193156 758578 677459 469176 705745 ,700726 726867 244838 97693 466442 193156 758578 677459 469176 705745 
989797 255741 130186 541647 286277 318531 64865 125176 401635 741040 ,989797 255741 130186 541647 286277 318531 64865 125176 401635 741040 
836139 874600 159304 463196 523624 827569 529984 331049 262290 408602 ,836139 874600 159304 463196 523624 827569 529984 331049 262290 408602 
835813 967138 518147 625330 716920 678519 227518 886576 34713 21657 ,835813 967138 518147 625330 716920 678519 227518 886576 34713 21657 
926131 856184 183239 41316 427946 798097 927226 907245 784447 642807 ,926131 856184 183239 41316 427946 798097 927226 907245 784447 642807 
233316 689218 99 545800 331724 422269 195573 447089 638204 472074 ,233316 689218 99 545800 331724 422269 195573 447089 638204 472074 
644084 934681 24490 641057 50748 459110 593652 240047 168301 158949 ,644084 934681 24490 641057 50748 459110 593652 240047 168301 158949 
973684 67542 278503 103019 558284 375286 280378 294220 985904 277733 ,973684 67542 278503 103019 558284 375286 280378 294220 985904 277733 
621611 271284 123971 828919 136022 978004 390652 107657 291061 82935 ,621611 271284 123971 828919 136022 978004 390652 107657 291061 82935 
431995 844532 79167 53207 420824 149165 861648 779608 523341 429265 ,431995 844532 79167 53207 420824 149165 861648 779608 523341 429265 
6117 459739 599918 267804 467800 181903 355122 365247 507276 381019 ,6117 459739 599918 267804 467800 181903 355122 365247 507276 381019 
817725 912271 267313 954367 987553 890607 860451 907114 439529 850326 ,817725 912271 267313 954367 987553 890607 860451 907114 439529 850326 
871219 967126 435938 616390 270070 417186 686671 463415 90129 696047 ,871219 967126 435938 616390 270070 417186 686671 463415 90129 696047 
561060 160241 813893 753024 49230 27786 290674 41298 933007 403362 ,561060 160241 813893 753024 49230 27786 290674 41298 933007 403362 
792418 293445 830784 491747 944795 350452 15490 819713 23835 608588 ,792418 293445 830784 491747 944795 350452 15490 819713 23835 608588 
944795 830784 386615 280125 792418 350452 317283 822986 23835 555765 ,944795 830784 386615 280125 792418 350452 317283 822986 23835 555765 
437642 227551 104784 969585 756585 759124 801330 621565 761870 531363 ,437642 227551 104784 969585 756585 759124 801330 621565 761870 531363 
600372 821989 9075 808551 213574 731499 653387 954092 816387 595225 ,600372 821989 9075 808551 213574 731499 653387 954092 816387 595225 
454505 480741 219535 205645 444533 425269 126028 125318 570989 872355 ,454505 480741 219535 205645 444533 425269 126028 125318 570989 872355 
330228 87851 741817 550372 244518 158205 461891 823398 919915 407097 ,330228 87851 741817 550372 244518 158205 461891 823398 919915 407097 
383033 274255 894085 482341 455558 566485 792973 9594 499701 451000 ,383033 274255 894085 482341 455558 566485 792973 9594 499701 451000 
959403 659787 978522 229077 581850 784321 362963 1000348 81930 410943 ,959403 659787 978522 229077 581850 784321 362963 1000348 81930 410943 
612635 905929 744278 527483 871973 755482 488073 41767 921316 348203 ,612635 905929 744278 527483 871973 755482 488073 41767 921316 348203 
987277 188393 436767 544918 326574 171528 487610 933243 214034 524493 ,987277 188393 436767 544918 326574 171528 487610 933243 214034 524493 
531546 25446 737084 890049 695663 265194 719428 175070 815791 301260 ,531546 25446 737084 890049 695663 265194 719428 175070 815791 301260 
13284 563291 610036 329015 211991 519004 251341 571316 137154 469457 ,13284 563291 610036 329015 211991 519004 251341 571316 137154 469457 
965156 809793 145855 543662 172463 549896 183833 67286 862525 518101 ,965156 809793 145855 543662 172463 549896 183833 67286 862525 518101 
297294 687147 401277 286986 259555 534239 659728 58661 423862 164831 ,297294 687147 401277 286986 259555 534239 659728 58661 423862 164831 
529037 713614 861599 163609 5171 650026 94056 695666 501548 739858 ,529037 713614 861599 163609 5171 650026 94056 695666 501548 739858 
836441 420104 770112 439314 229415 206325 239755 733848 445216 129347 ,836441 420104 770112 439314 229415 206325 239755 733848 445216 129347 
606416 591910 26502 879938 897430 903558 471941 297472 246847 195860 ,606416 591910 26502 879938 897430 903558 471941 297472 246847 195860 
374996 319929 903805 684959 573873 445106 262632 697547 152815 714621 ,374996 319929 903805 684959 573873 445106 262632 697547 152815 714621 
481432 501573 454450 696778 968618 135428 699185 883183 840155 289633 ,481432 501573 454450 696778 968618 135428 699185 883183 840155 289633 
392663 553269 300477 371665 931908 215196 144877 890338 893250 505062 ,392663 553269 300477 371665 931908 215196 144877 890338 893250 505062 
83950 790006 98109 833643 889049 778582 996968 380194 811305 639553 ,83950 790006 98109 833643 889049 778582 996968 380194 811305 639553 
