GT,Result
891426 575618 226310 85432 100000 730843 466666 341673 109347 951083 ,891426 100000 466666 109347 920521 320809 199140 647340 345400 701176 
16400 768398 189639 341909 715555 939828 457384 498731 497155 270619 ,768398 189639 715555 457384 507280 106932 6395 635591 458660 39085 
691250 446379 885689 730883 48964 327408 615270 579197 710956 754423 ,446379 885689 730883 48964 615270 515115 203006 635820 554883 538880 
335420 696046 142496 662609 195136 469752 74548 778064 454792 152009 ,696046 778064 454792 152009 475898 464619 407902 659750 808527 567489 
250787 970466 534649 850978 414858 906035 505690 658574 121476 804906 ,534649 414858 505690 121476 451979 246215 154308 983275 40837 438534 
551693 520499 745725 573914 426176 25073 265607 108471 603843 690631 ,745725 573914 426176 25073 265607 108471 603843 801698 894203 228408 
928754 161290 165357 897997 900324 891309 50815 540988 889031 206081 ,928754 161290 165357 900324 50815 206081 720850 234897 494742 622784 
517137 847418 41859 360549 743252 783656 443421 612803 354813 883998 ,360549 743252 443421 883998 978584 802478 256318 914440 663808 439831 
140482 696580 245860 721179 405070 926343 783192 215734 181800 588237 ,696580 405070 783192 215734 181800 611999 629896 310683 78250 344232 
225668 182104 773234 2006 838518 548675 512833 124317 81229 637971 ,225668 182104 773234 637971 706147 211522 199412 162190 629829 919472 
895747 876058 519167 503614 536754 236467 806598 154498 493667 79527 ,895747 236467 901977 97939 524040 690103 323318 960747 545447 348181 
754288 202665 972079 833981 340563 689042 371842 962567 152430 325494 ,972079 833981 689042 371842 962567 133057 935945 789965 411582 922110 
975210 681546 332744 129230 602121 827730 491592 920835 322118 108666 ,975210 129230 602121 920835 108666 959120 49446 612474 588528 903263 
376102 751922 431585 259922 411247 173807 204446 544766 378813 480045 ,376102 431585 544766 378813 480045 656782 507495 860887 407693 622824 
904725 851566 674307 685709 182205 849929 169323 709551 415972 160537 ,904725 851566 674307 685709 182205 849929 169323 160537 222555 928748 
386030 352104 314804 342915 619994 928559 412798 418824 4511 867356 ,352104 314804 867356 507844 513624 313461 277930 643523 799728 187509 
254331 126157 657286 182669 54263 658237 796185 52697 370826 867678 ,126157 182669 796185 52697 370826 667522 217575 70578 243361 107152 
44265 403762 704634 649174 794612 838337 853839 578127 910974 606429 ,44265 704634 794612 853839 910974 606429 668260 52591 829608 285071 
525443 576171 359401 806530 968089 172688 152434 186147 551693 475821 ,525443 576171 968089 172688 152434 186147 475821 297995 358602 922674 
624142 303004 683147 562574 679566 825111 988689 382583 740603 960578 ,683147 988689 740603 301033 666116 287087 35907 949694 822273 815192 
729295 814210 985844 242946 31226 834358 396368 124390 629759 952890 ,985844 242946 31226 524598 443093 418862 507096 461524 630728 135560 
17596 859188 523210 723678 198786 307089 556171 7137 439978 481033 ,17596 723678 307089 7137 439978 855646 71513 173565 181663 169078 
995426 724874 621827 882631 934607 463112 894968 136325 199088 478216 ,995426 882631 894968 214103 364112 440658 272244 520367 306714 543096 
374311 26690 119454 545368 660774 82474 768960 843305 482288 386819 ,768960 843305 482288 386819 615780 479508 887423 511913 833560 349988 
