L,Cmps,QPS,Recall
1700,86592,31.4911,88.2
1400,74632,36.8868,86.65
1100,62109,44.964,84.65
1000,57499,48.8043,82.95
900,52902,53.135,82
800,48206,58.5138,81
700,43252,65.2316,79.55
600,38191,74.1015,77.7
500,32950,85.8001,76
400,27329,103.413,73.2
300,21371,130.634,69.95
250,18377,151.745,68.9
200,15199,181.653,66.1
180,13923,196.657,65.05
160,12598,215.75,63.15
140,11281,240.096,61.5
120,9899,270.27,58.8
100,8428,313.48,56.55
90,7680,340.136,55.2
80,6963,372.439,53.45
70,6228,410.678,51.65
60,5477,459.77,49.25
55,5103,487.805,48.35
50,4713,516.796,46.75
45,4329,561.798,45.8
40,3949,604.23,44.25
35,3554,662.252,42.5
30,3142,729.927,40.3
25,2730,816.327,38.95
20,2312,925.926,36.45
15,1888,1075.27,33.15
10,1453,1290.32,29.1
