GT,Result
892228 272976 361009 793485 472848 757974 444833 169750 834050 881484 ,892228 272976 793485 444833 834050 881484 162208 465281 74215 935736 
186545 440400 13508 461666 632643 508965 627330 901025 682676 446065 ,461666 682676 599340 975113 50332 359986 263063 608548 902445 774453 
454094 500435 861118 521821 911747 253355 756824 966413 886842 909683 ,911747 253355 886842 909683 912528 552588 966367 333728 252034 876433 
63268 333414 243710 367848 745556 766053 92429 507857 627385 222331 ,92429 219573 104518 285599 104318 214641 753407 383153 413194 891754 
784569 116472 860689 925301 948508 748630 642659 356847 360435 602578 ,784569 116472 860689 642659 360435 602578 966898 789232 96746 323999 
459518 65918 426142 226459 55383 692662 915316 903058 201467 777610 ,426142 201467 407324 47729 212674 332991 796706 485112 675869 314492 
110292 653238 953544 136536 169580 319539 316552 517588 536494 979302 ,110292 653238 953544 979302 307694 537865 853372 307687 585597 73915 
43313 148499 797985 125013 475995 209118 808020 486809 604028 462473 ,797985 125013 475995 604028 416951 807519 611701 721904 9313 910515 
299782 394938 978985 252782 829595 772117 376883 315975 650366 311557 ,394938 937583 772171 48205 807549 537900 937956 627799 915611 244638 
751906 559313 70791 585102 536639 449937 857536 460597 461997 777222 ,70791 585102 857536 460597 461997 777222 680522 409891 341008 728405 
360067 647897 506823 355867 742398 283321 661275 337486 423912 137457 ,360067 647897 506823 742398 337486 423912 618561 812991 147376 326842 
420067 854885 535205 671790 90000 256903 831794 826236 330295 31464 ,420067 535205 671790 256903 826236 330295 31464 337486 6553 712078 
526529 934761 645858 350525 185700 804689 781572 647837 701728 248472 ,526529 934761 350525 185700 701728 77040 76008 875542 371945 642328 
326504 283321 611267 746798 410810 327416 849670 493674 198042 398976 ,326504 327416 493674 495251 379390 469847 649224 843193 854969 299153 
302653 502667 377766 777853 961952 460391 865614 498155 327660 319225 ,302653 777853 865614 498155 327660 650682 129128 868029 714071 747179 
62407 371061 707976 749158 254589 227301 918228 925441 281326 400697 ,371061 707976 749158 254589 227301 918228 925441 281326 400697 499365 
407097 806114 363948 903886 628372 333108 720574 410942 122302 170340 ,407097 806114 363948 903886 628372 333108 720574 410942 122302 203386 
695383 811889 193542 990976 604455 843068 475831 771609 528466 188908 ,990976 604455 843068 475831 771609 188908 712510 302698 861351 242413 
35405 242147 769875 282386 100939 733210 672443 166385 46854 640277 ,769875 282386 100939 733210 672443 46854 640277 917493 596431 551132 
662286 745019 634787 700469 870391 762391 428313 580998 570237 243434 ,662286 745019 634787 700469 870391 570237 243434 224161 458637 714554 
276450 757395 368332 896715 644397 802982 611443 941188 276787 343643 ,368332 896715 57487 949308 297452 550130 285984 863111 435125 737664 
511797 343335 979728 22043 978325 399045 128887 697675 32356 956545 ,987314 767782 794024 539624 777646 369996 145313 184859 14266 313049 
557822 347752 520124 171845 474267 278859 914737 434893 169045 873321 ,557822 347752 873321 294322 191009 811420 50197 430823 41127 404564 
108464 490839 223983 335117 636693 164518 596957 355327 200572 431197 ,108464 490839 223983 636693 164518 596957 728544 970443 878075 658227 
