L,Cmps,QPS,Recall
1700,34907,46.0405,92.55
1400,30112,55.8347,91.2
1100,24829,67.5676,88.8
1000,23112,73.0193,88.5
900,21272,83.0565,87.6
800,19173,93.6768,85.95
700,17318,104.221,85.1
600,15163,119.546,82.75
500,12951,140.351,79.25
400,10655,171.674,74.8
300,8368,220.022,70.2
250,7108,260.078,66.6
200,5876,314.961,62.85
180,5274,352.734,59.95
160,4788,389.105,58.55
140,4265,436.681,56.8
120,3724,502.513,53.95
100,3176,591.716,51.15
90,2897,649.351,48.6
80,2631,716.846,46.6
70,2339,803.213,44.5
60,2073,913.242,42.2
55,1924,985.222,40.75
50,1778,1069.52,39.4
45,1632,1156.07,37.65
40,1478,1290.32,35.5
35,1333,1438.85,33.65
30,1167,1652.89,30.75
25,1003,1923.08,28.5
20,845,2298.85,25.05
15,679,2898.55,22
10,530,3773.58,19.05
