GT,Result
788287 840073 189949 145099 888254 597215 323334 541761 312120 310396 ,788287 840073 189949 145099 888254 597215 323334 541761 312120 310396 
338638 463326 566286 454772 377416 545554 209477 141024 991089 680853 ,338638 463326 566286 454772 377416 545554 209477 141024 991089 680853 
324509 552271 823975 262730 244141 928316 629171 810105 674941 116085 ,324509 552271 823975 262730 244141 928316 629171 810105 674941 116085 
725874 570701 117957 852034 667384 499803 334088 330742 594896 528673 ,725874 570701 117957 852034 667384 499803 334088 330742 594896 630039 
357072 783369 784416 495550 8681 702403 527773 167274 577468 813842 ,357072 783369 784416 495550 8681 702403 527773 167274 577468 813842 
704686 473344 482772 578529 438562 598249 514777 900763 648849 907353 ,704686 473344 482772 578529 438562 598249 900763 648849 907353 827095 
751728 293552 455085 151014 944370 835487 416645 609112 767980 563662 ,751728 293552 455085 151014 944370 835487 416645 609112 767980 563662 
566460 687873 958785 764990 5163 438839 763937 28898 848197 42229 ,566460 687873 958785 764990 5163 438839 763937 28898 848197 42229 
942292 685871 812871 111126 948518 973746 402359 913787 905339 913745 ,942292 685871 812871 111126 948518 973746 402359 913787 905339 913745 
282569 936643 274358 96125 958785 672166 449183 708451 952278 377754 ,282569 936643 274358 96125 958785 672166 449183 708451 952278 377754 
602218 656168 53145 586668 73082 40738 857735 709953 196140 604914 ,602218 656168 53145 586668 73082 40738 857735 709953 196140 604914 
485104 974471 663125 179485 403111 538055 366290 718392 377740 191491 ,485104 974471 663125 179485 403111 538055 366290 718392 377740 191491 
354100 851509 98773 461495 913605 957957 350399 353520 214915 430009 ,354100 851509 98773 461495 913605 957957 350399 353520 214915 430009 
414872 359573 651054 417370 181442 219724 259225 232849 600060 369326 ,414872 359573 651054 417370 181442 219724 259225 232849 600060 369326 
729348 29285 479886 124683 744232 572547 530829 637305 200536 560783 ,729348 29285 479886 124683 744232 572547 530829 637305 200536 560783 
370124 744722 672166 620478 612654 896722 88407 325281 916519 191443 ,370124 744722 672166 620478 612654 896722 88407 325281 916519 191443 
122918 327284 902948 157303 798599 965481 510393 452192 661015 74007 ,122918 327284 902948 157303 798599 965481 510393 452192 661015 74007 
454840 917109 592169 831722 868986 318658 515907 516714 7705 459703 ,454840 917109 592169 831722 318658 515907 516714 7705 459703 691182 
974471 116134 534609 330134 739972 743987 663125 876338 659033 283271 ,974471 116134 534609 330134 739972 743987 663125 876338 659033 283271 
5457 767749 966018 289802 611728 712450 48418 317699 263902 419157 ,5457 767749 966018 289802 611728 712450 48418 317699 263902 394153 
48681 333908 281688 464490 820116 165107 953926 72071 508943 229343 ,48681 333908 281688 464490 820116 165107 953926 72071 508943 229343 
115556 537814 644411 182382 51446 720811 342115 535572 828757 478409 ,115556 537814 644411 182382 51446 720811 342115 535572 828757 478409 
115556 537814 720811 51446 372897 506363 535572 644411 505332 413596 ,115556 537814 720811 51446 372897 506363 535572 644411 505332 413596 
