L,Cmps,QPS,Recall
1700,71302,22.5251,92.6
1400,62391,26.0552,91.6
1100,52047,31.5856,88.6
1000,48510,34.0078,88.15
900,44805,36.7579,87.3
800,41147,40.2576,86.65
700,37157,45.0349,85.5
600,33035,51.3215,83.85
500,28558,59.6303,81.2
400,23775,71.9683,77.9
300,18905,90.9091,74
250,16216,106.213,71.5
200,13408,133.156,66.75
180,12294,152.555,64.6
160,11118,168.067,62.8
140,9949,189.215,60.6
120,8726,215.517,57.1
100,7462,245.098,53.6
90,6827,245.7,51.65
80,6158,280.112,49.65
70,5533,315.956,47.85
60,4891,357.782,44.95
55,4568,382.409,43.3
50,4237,417.537,41.6
45,3889,453.515,39.55
40,3546,498.753,38.1
35,3210,547.945,36.6
30,2855,621.118,34.45
25,2488,714.286,31.85
20,2093,847.458,29
15,1700,1036.27,25.7
10,1291,1369.86,20.75
