GT,Result
244507 850469 491568 986787 259158 931169 729404 98629 110176 799417 ,986787 729404 835147 467563 653015 429809 434678 866962 637084 512610 
271952 775362 775391 157628 840768 175833 105469 922043 893891 649275 ,157628 175833 922043 300669 897981 966813 330878 928329 410339 800433 
284983 433745 554273 555781 780147 483408 932906 937251 221496 378522 ,554273 555781 780147 932906 937251 221496 514746 209198 175217 981743 
515329 343400 760446 675085 545918 83607 329192 600146 465230 412140 ,545918 600146 612403 923141 448804 150134 173229 734459 248639 699286 
332486 883541 832057 402535 98576 185594 481 685619 460085 69335 ,883541 832057 402535 98576 481 685619 460085 333095 713242 238069 
724336 973656 395012 663397 486398 724433 893687 920683 937430 374169 ,395012 908930 26384 892715 847675 186230 75860 823624 92371 516190 
489247 803927 608357 159897 767968 803200 262552 188815 757276 659416 ,489247 608357 803200 262552 188815 757276 659416 803198 61609 759741 
925883 183827 312663 283455 478199 636987 563598 194082 456019 430219 ,312663 563598 194082 456019 430219 108456 885230 434369 304595 735447 
28209 528719 568311 875860 537190 692172 953512 960965 175500 834975 ,570117 58978 710304 362541 274695 173371 277189 27522 533988 61773 
93741 886090 482591 329313 929246 948867 354199 612120 15157 886186 ,886090 482591 929246 354199 15157 922573 678526 678552 447243 584563 
25298 381240 260816 836571 142960 706946 175562 536388 58152 617190 ,25298 260816 836571 706946 58152 713338 393470 943855 886410 670382 
674065 240444 764732 592158 398701 623768 898723 655892 692245 981697 ,674065 240444 764732 592158 655892 981697 614503 121719 160152 152715 
979930 865551 78970 652443 419007 874801 298771 276043 303350 270543 ,298771 276043 355864 554582 305263 365597 96120 153443 696321 487326 
630107 289288 486167 382160 275724 177617 933718 151786 291503 999033 ,630107 382160 151786 291503 882327 938468 815754 52725 508180 237406 
670063 465903 810713 719037 274692 781936 94791 966440 457380 554226 ,94791 348627 504059 171435 654976 822875 977284 65837 543771 288475 
688812 525300 626917 519738 470012 324292 727420 90809 58004 687033 ,688812 626917 519738 470012 727420 497197 893702 231668 538962 315640 
191335 750576 918501 90373 20237 290483 76174 245482 251208 772718 ,191335 699051 813275 99423 409570 722698 100715 281171 224671 663338 
556005 284778 413364 67259 900676 592693 367437 957059 281623 997331 ,997331 977930 642660 776204 827614 201720 796754 623805 463709 29863 
412616 605999 349884 672088 150492 272821 455704 517281 463884 455702 ,349884 672088 150492 455704 250357 526556 619917 914507 56905 320378 
767512 866865 126247 420067 420055 492131 647091 785496 814600 329474 ,767512 866865 785496 814600 308516 176530 666324 631506 833809 706268 
927738 502490 2416 877128 541852 233504 192003 648320 877113 627901 ,434896 564307 831574 529073 428578 89307 18078 762914 627906 89395 
690066 817031 472985 609041 294739 402601 124571 749803 812582 949157 ,690066 817031 609041 294739 124571 749803 812582 949157 427134 836390 
377769 435490 308197 777154 526296 521758 669275 107376 344354 25246 ,308197 526296 344354 845918 406376 810353 156122 928761 799821 991536 
734797 247720 667022 79137 876067 968800 127898 715578 909760 118746 ,86783 619046 973765 619039 909852 122946 934353 344568 374763 808476 
307116 809057 207956 883706 990533 813386 912526 636753 674594 420315 ,307116 990533 813386 636753 674594 389513 40638 420289 573790 83512 
950435 142677 304903 474237 845626 354759 854749 636456 855693 474868 ,354759 854749 636456 222339 496435 314968 233566 929241 91722 645619 
67609 377131 494550 735032 990845 387314 657580 14889 657594 908898 ,67609 377131 494550 387314 657580 14889 667757 528276 643031 358240 
661534 531580 662332 642063 590227 114867 669815 346222 340289 707876 ,531580 662332 590227 114867 669815 707876 790222 92173 531137 840149 
823069 191866 384079 299623 626859 281900 903390 797930 995891 858880 ,823069 191866 384079 299623 626859 903390 797930 995891 858880 813724 
742257 655187 225655 916296 329182 747799 780910 133048 812774 967706 ,655187 225655 747799 762869 465393 639283 125321 584728 336917 394743 
76655 106742 555787 738634 627723 783859 27986 866250 21350 851385 ,76655 106742 555787 738634 866250 21350 137521 839942 317041 623769 
930231 834761 954475 848767 468983 375477 85357 26395 699411 235020 ,930231 834761 954475 468983 375477 85357 235020 560357 560424 376647 
849883 546086 959563 504895 708508 462769 451028 483839 696654 234976 ,462769 451028 483839 696654 234976 235842 417857 912297 320463 733204 
331201 423826 120816 934289 6580 182127 771627 163430 543122 66144 ,331201 423826 120816 6580 182127 771627 163430 66144 823342 337557 
273372 412050 162954 552246 440986 896388 168123 705165 367616 220389 ,896388 168123 333934 452534 478806 661985 807056 274632 996509 78522 
746180 746179 949813 106435 877905 690123 960205 423600 746163 369546 ,423600 746163 90114 662950 954358 746181 167171 8474 691835 881639 
206925 211013 498938 279869 748666 253679 515005 300150 585589 489808 ,206925 211013 279869 489808 857940 522898 130309 830985 65591 721019 
832602 223710 876804 503648 518791 537322 889208 979029 975484 654185 ,518791 654185 23017 18483 845936 898526 618736 100105 624926 72563 
749814 878333 374395 958152 531190 943005 12075 93270 116598 513964 ,727185 470942 283903 10126 836741 107732 925453 781627 787434 109802 
378438 381078 728947 611161 557267 673938 189345 684539 449587 681959 ,378438 728947 189345 684539 449587 681959 281397 741359 123506 290160 
708132 833348 866853 445857 36565 169124 511688 27914 539578 473957 ,708132 866853 36565 511688 539578 531502 61042 987998 140798 895784 
988851 683594 742631 897515 706776 322023 22875 476781 204739 713056 ,988851 742631 897515 322023 22875 713056 669340 934526 422710 598901 
550680 405365 242596 604070 450160 236218 838050 581775 477144 679436 ,550680 405365 604070 450160 236218 581775 679436 129148 27939 138469 
459491 230483 530545 685731 813842 434993 65977 198181 228391 886833 ,230483 685731 434993 921437 167198 543183 13959 169112 366369 658920 
282203 303647 944800 65547 401838 991942 918487 123438 889258 134185 ,944800 65547 991942 134185 693478 989498 304077 918452 193657 137422 
650245 318906 722641 921226 73244 481990 161783 635560 164711 188608 ,318906 921226 161783 635560 164711 398724 188608 250789 338440 804225 
579708 123471 64193 985729 407749 614249 379496 727929 358708 124008 ,579708 64193 407749 614249 727929 358708 124008 896140 835598 499174 
471777 290347 939427 434528 761511 619834 639810 60984 871651 618296 ,939427 619834 536240 180071 197417 257845 130333 162151 380753 130049 
614546 216820 527742 509144 271050 548106 28156 954719 796106 361901 ,527742 509144 271050 954719 761266 407828 437726 477116 79706 151543 
331177 445743 82564 245784 463630 988211 35676 967165 984366 11894 ,331177 445743 82564 463630 988211 984366 588214 928015 228746 941791 
610862 209831 340450 93358 349007 75720 206763 935993 813142 494102 ,89922 911463 894064 362449 735541 606116 140729 458077 242971 78543 
612531 835541 267043 418536 582495 835563 122222 561376 603998 618673 ,561376 937391 550986 314613 612471 748869 522181 601314 591388 51909 
955357 131025 885706 384245 205090 794265 83684 794266 378131 74711 ,955357 885706 205090 794265 83684 378131 855242 690265 983576 701282 
