L,Cmps,QPS,Recall
1700,15138,394.089,99.47
1400,13646,462.963,99.255
1100,11911,495.295,98.795
1000,11269,534.045,98.55
900,10588,738.552,98.345
800,9855,827.815,98.02
700,9069,925.069,97.575
600,8230,1053.19,97.195
500,7301,1229.26,96.435
400,6277,1478.2,95.365
300,5137,1855.29,93.71
250,4500,2139.04,92.25
200,3810,2583.98,90.29
180,3519,2801.12,89.245
160,3226,3072.2,88.27
140,2913,3412.97,86.775
120,2580,3846.15,84.6
100,2239,4454.34,82.27
90,2064,4739.34,80.74
80,1881,5263.16,78.975
70,1694,5797.1,76.705
60,1500,5221.93,74.155
55,1400,5509.64,72.6
50,1300,5602.24,71.02
45,1199,6410.26,69.305
40,1092,6896.55,67.105
35,985,7968.13,64.55
30,877,9950.25,61.885
25,767,11111.1,58.64
20,651,12500,54.695
15,530,14388.5,48.81
10,406,16949.2,41.97
