GT,Result
152270 82378 862059 815354 29998 126493 663325 526374 819605 819529 ,152270 862059 815354 29998 663325 526374 819605 819529 662724 69888 
555262 768071 537802 207157 568059 37958 834043 921944 475222 38919 ,768071 921944 38961 793666 772935 468860 665026 442751 774681 834050 
138124 291816 776668 595039 10060 563395 895044 541964 133652 363206 ,138124 291816 776668 595039 10060 563395 541964 363206 130307 642640 
494075 520923 537641 659454 493908 537592 272877 96636 283843 953753 ,494075 520923 537641 493908 537592 96636 283843 953753 138201 512358 
915388 850935 572691 27289 833474 973905 15075 13495 843301 773344 ,915388 572691 27289 833474 973905 15075 773344 727282 992715 899721 
465714 434339 187617 223352 308559 523623 704213 341033 163332 391735 ,465714 434339 308559 523623 958112 215308 524215 404815 89536 96734 
937953 471058 995037 220785 579874 795109 880961 995041 221518 942813 ,579874 795109 995041 992327 346523 922755 434334 8153 771332 44643 
890420 795028 974434 766349 766254 828936 831024 858638 835196 878618 ,890420 795028 766349 766254 828936 831024 858638 835196 878618 829131 
849558 996618 975632 207706 191446 860268 883997 849031 504459 395043 ,996618 975632 207706 860268 883997 849031 395043 916999 36200 888546 
868632 398897 461301 531129 419679 598604 840999 904738 60468 11948 ,868632 531129 419679 840999 11948 542126 797335 970765 13651 403569 
988711 303035 730667 613176 940544 80822 28636 361469 21258 127701 ,613176 940544 28636 361469 127701 620003 202039 438154 851752 988951 
17058 886924 528313 268924 111673 794261 597082 842581 516362 590569 ,17058 886924 528313 268924 597082 842581 516362 590569 278134 375521 
574312 395964 904578 872119 13640 395457 947842 704371 835041 71151 ,574312 395964 904578 13640 947842 835041 71151 744534 515847 527902 
196662 275478 12027 815172 263460 820971 489720 132921 975988 376384 ,275478 815172 263460 820971 489720 376384 140081 279655 561020 589609 
305865 292066 609240 51583 469672 160255 261514 446120 248592 473717 ,292066 446120 248592 473717 536061 905494 323984 730297 744892 364579 
519779 281911 770646 724877 280590 145402 680707 730482 452423 851362 ,519779 280590 145402 680707 452423 791185 68812 366029 280750 841928 
191143 218403 38819 38919 823496 37704 447539 953106 207088 477299 ,38819 823496 37704 447539 953106 477299 37684 559198 37668 11220 
176056 356936 467415 175729 420609 526671 947060 669236 525680 567767 ,356936 175729 429764 808018 151252 474581 830968 811378 725913 189505 
313837 812156 317530 715823 850081 161400 128942 229499 994734 552459 ,313837 715823 850081 161400 128942 229499 552459 59365 691675 139033 
840898 576593 90996 975520 572957 859729 877600 218309 625828 998228 ,840898 576593 90996 572957 859729 877600 218309 998228 961251 103902 
499324 1141 148738 750710 791499 462698 300124 349112 358333 904389 ,499324 1141 750710 300124 349112 358333 904389 201484 549534 8026 
656430 133838 655412 310794 778860 833210 404998 757802 760003 610026 ,133838 778860 610026 759299 482291 673943 610401 340504 639051 659780 
269650 158646 632995 799104 94089 194844 460772 16414 739095 157490 ,269650 632995 94089 460772 739095 157490 742855 551878 738430 193744 
930645 35830 85651 687524 751559 86190 65251 696062 543829 721897 ,930645 751559 941975 388237 329039 558785 551094 933348 680991 728746 
60452 76614 13996 517916 209339 635058 173566 66976 5219 714604 ,13996 517916 635058 173566 66976 697605 714195 323879 795912 277804 
137542 270762 318651 271008 532887 813484 71451 206628 270906 980327 ,137542 270762 206628 810610 533039 972926 662430 560674 331374 107570 
18808 116599 324456 574925 612538 665242 797320 876209 991484 668913 ,923374 363008 183902 515193 70650 96734 772827 160892 633610 97906 
31127 389076 956156 29168 389106 806487 255499 409219 524375 485045 ,31127 389076 29168 806487 255499 409219 524375 485045 230917 323137 
974743 726159 538627 954908 972380 316848 552137 799070 805483 924974 ,538627 954908 316848 799070 924974 478832 593681 324145 100355 929285 
435370 989620 879768 787588 454875 661342 30440 182081 439425 685117 ,989620 879768 787588 661342 30440 182081 685117 291888 379122 828028 
687760 30002 524433 694334 99720 465017 169506 551667 151598 265130 ,687760 30002 99720 169506 551667 151598 265130 420608 940628 127953 
442732 31782 614142 794436 401683 152943 869892 116909 381448 806966 ,442732 31782 614142 794436 401683 152943 869892 116909 381448 646262 
341948 86123 320901 957304 887125 845797 230682 386699 812437 732807 ,887125 771311 20294 668400 299327 262099 195603 67359 192573 860467 
635389 4548 571879 419736 520891 666636 635558 525606 721711 291996 ,571879 419736 520891 666636 635558 525606 721711 904076 325185 280779 
821939 815480 520730 815287 815404 815329 82999 815274 815356 996019 ,82999 815395 996018 520726 815282 815402 30330 83409 279137 818254 
489515 504943 515557 793376 584070 52741 112324 500033 327118 292254 ,489515 515557 584070 112324 500033 292254 141379 513196 44221 318906 
