GT,Result
407939 353607 231890 40438 399514 754435 366707 633227 375267 841223 ,407939 353607 231890 40438 399514 754435 366707 633227 375267 841223 
991175 2736 660264 732178 757423 236561 986694 28516 777120 952858 ,991175 2736 660264 732178 757423 236561 986694 28516 777120 952858 
471432 168281 684529 631340 703593 977911 327389 156846 928432 316591 ,471432 168281 684529 631340 703593 977911 327389 156846 928432 316591 
852777 660264 2736 582410 447999 28516 101587 236561 402668 534491 ,852777 660264 2736 582410 447999 28516 101587 236561 402668 534491 
516694 671179 237284 791034 365305 733275 890085 524178 497486 209933 ,516694 671179 237284 791034 365305 733275 890085 524178 497486 209933 
496034 790906 703389 435346 540683 15715 942684 114297 531983 908486 ,496034 790906 703389 435346 540683 15715 114297 531983 908486 364440 
732178 670697 227126 234077 685790 81688 960336 618773 920971 543844 ,732178 670697 227126 234077 685790 81688 960336 618773 920971 543844 
170180 888348 274940 707239 78513 659858 85053 336602 276983 558264 ,170180 888348 274940 707239 78513 659858 85053 336602 558264 595847 
805688 840424 200862 175365 574305 461363 947432 772644 702920 59328 ,805688 840424 200862 175365 574305 461363 947432 772644 702920 59328 
341665 904535 756090 45502 223884 56401 886251 49781 619140 854991 ,341665 904535 756090 45502 223884 56401 886251 49781 619140 854991 
285172 634537 400732 14094 28942 61797 471345 4277 183651 951157 ,285172 634537 400732 14094 28942 61797 471345 4277 183651 951157 
38447 477070 446925 672618 339312 411903 191264 673893 618159 521165 ,38447 477070 446925 672618 339312 411903 191264 673893 618159 521165 
82520 827657 414009 684801 270232 408303 237981 299278 60424 228954 ,82520 827657 414009 684801 270232 408303 237981 299278 228954 108972 
194424 13930 482813 618382 916614 932801 393598 665269 624005 870659 ,194424 482813 618382 916614 932801 393598 665269 624005 870659 685059 
138107 486542 507123 521633 729778 431322 74569 519699 922435 31386 ,138107 507123 521633 729778 431322 74569 519699 922435 31386 227010 
476494 793459 758875 154469 891864 853717 677236 588374 956122 892145 ,476494 793459 758875 154469 891864 853717 677236 588374 956122 892145 
364934 701898 870659 988960 550799 260375 987638 393218 169885 542396 ,364934 701898 870659 988960 550799 260375 987638 393218 169885 542396 
551662 770176 917854 924055 486957 60424 237981 236025 82520 923277 ,551662 770176 917854 924055 486957 60424 237981 236025 82520 923277 
826426 258104 12687 280982 971934 910040 255642 162237 208975 745231 ,826426 258104 12687 280982 971934 910040 255642 162237 208975 745231 
822757 364752 197136 745757 924282 419578 744677 807242 691515 489390 ,822757 364752 197136 745757 924282 419578 744677 691515 489390 566264 
549697 989053 505694 872370 365422 307000 988960 248656 883167 94943 ,549697 989053 505694 872370 365422 988960 248656 883167 94943 618378 
