L,Cmps,QPS,Recall
1700,37281,168.833,93.36
1400,32585,203.066,92.51
1100,27360,257.169,90.925
1000,25559,278.28,90.48
900,23675,305.577,89.96
800,21703,285.714,89.405
700,19614,305.018,88.265
600,17430,371.609,86.955
500,15158,499.875,85.475
400,12713,627.943,83.465
300,10099,810.045,80.445
250,8722,947.867,78.48
200,7242,1162.79,75.34
180,6642,1273.89,74.075
160,6024,1415.43,72.475
140,5385,1587.3,70.465
120,4733,1831.5,68.13
100,4072,2139.04,65.445
90,3735,1888.57,63.93
80,3392,2070.39,62.27
70,3041,2312.14,60.3
60,2684,2638.52,57.68
55,2497,2844.95,55.955
50,2312,3076.92,54.42
45,2129,4065.04,52.965
40,1941,4566.21,51.01
35,1747,5089.06,48.68
30,1550,5797.1,46.005
25,1354,6666.67,43.3
20,1149,7874.02,39.95
15,938,9661.84,35.82
10,720,12658.2,30.59
