GT,Result
53512 83164 867099 471024 471565 285070 93656 376488 433042 897155 ,53512 83164 867099 93656 433042 897155 895922 572383 811403 53584 
556029 556241 553055 556328 553076 552778 553377 555896 553467 552761 ,556241 556328 553076 552778 553377 555896 553467 552761 553366 553248 
205300 269578 81810 243293 92200 194428 273244 9176 318446 201867 ,87443 948438 560966 807850 632273 272938 380754 851605 634906 251654 
192197 982468 850414 756003 604979 604555 982919 990348 850692 858463 ,192197 982468 604979 982919 101902 855865 772550 504459 997191 856338 
705013 708616 706791 705123 195921 194281 273097 892569 863804 869529 ,705013 195921 194281 869529 869937 439390 81672 939821 623902 68331 
735593 452756 183251 128111 85900 193530 272346 459412 299375 465897 ,720833 97758 67078 61555 88101 923609 327525 912315 721396 158593 
613052 612587 612529 613296 613757 611536 612219 840516 257830 514898 ,613757 612219 840516 841029 578680 581446 577866 977382 772448 233617 
833988 926163 796174 544095 197564 127509 143370 937348 418976 543825 ,926163 127509 106193 688547 971763 56408 883470 373153 359923 484600 
434665 955311 350478 702971 337179 661291 367031 326912 956763 502288 ,350478 367031 326912 547352 662407 305859 660765 339114 247697 504421 
468226 391903 660483 470660 601308 601542 262118 6262 616065 110056 ,391903 470660 601308 6262 616065 110056 637157 151310 614985 443453 
689705 642732 799578 84430 269259 13699 282655 877267 983257 325344 ,269259 13699 282655 943036 867464 170057 105652 193966 272782 878130 
239135 725921 334073 778789 924974 156519 108557 325082 332876 493925 ,239135 725921 334073 778789 924974 156519 108557 325082 332876 493925 
982635 797056 795998 608836 688516 796383 52569 523266 305523 280084 ,52569 224202 108493 777268 587733 608953 982486 809363 328944 219369 
863048 473349 224828 24065 203441 267719 871592 911683 207593 667801 ,863048 473349 24065 203441 267719 871592 911683 207593 667801 862521 
658520 454166 761433 378038 511916 842884 512154 401617 425731 227858 ,454166 511916 842884 512154 842890 532659 533563 679024 680256 975784 
190708 853812 539729 190744 824326 403241 541687 666739 673095 539666 ,853812 190744 824326 666739 673095 539666 904392 903956 443314 809634 
555045 413980 68672 399471 412410 569212 545317 144996 616079 70135 ,413980 399471 850716 698165 468997 442971 555281 800573 824038 555040 
298964 299376 510663 300815 982691 362982 384733 63495 313319 997433 ,299376 510663 982691 384733 313319 997433 998018 156869 36849 302041 
305565 305192 774256 294170 306616 127711 774227 990281 108912 732399 ,774256 294170 306616 127711 105027 369499 363646 370059 233575 200437 
907672 259246 425300 74452 717656 108631 384188 311595 870973 904455 ,425300 74452 384188 156745 779168 814989 32649 345897 691131 9274 
647480 381233 385669 104269 427810 563786 885016 971970 646817 424210 ,385669 104269 646817 891906 386733 214106 643371 885211 789253 765477 
406475 794222 30500 829133 781148 976720 781434 742787 601792 742891 ,794222 260649 892591 192432 271248 145751 713958 790913 192437 264326 
12321 197171 275987 968326 219849 12509 661967 878475 520276 540730 ,12321 197171 968326 661967 540800 441416 943063 711318 877936 979161 
360905 362328 231637 723911 724463 566959 316378 287465 313549 783369 ,360905 566959 316378 313549 857077 522058 696421 516200 308155 313351 
527043 577166 458589 458499 395631 542468 13196 467629 746001 245219 ,527043 746001 395077 376163 390530 724712 343018 357673 126015 535820 
68951 682434 947841 206983 768176 528747 429729 600976 995072 905062 ,528747 429729 200924 505220 649856 872274 417866 90973 216445 418024 
794997 540924 571365 236982 237118 345381 322026 351091 337229 571760 ,540924 236982 237118 322026 61217 263074 822655 426661 411622 274236 
357203 159915 159116 132530 161273 952037 131207 49646 363074 869253 ,357203 952037 162021 861454 349977 101740 988606 783567 773156 651766 
318266 834026 70614 547618 57613 544345 589116 839757 687115 170700 ,834026 70614 547618 57613 544345 589116 839757 687115 170700 906731 
675678 219982 673644 817376 22953 757718 980805 181285 765749 113133 ,675678 219982 673644 817376 22953 980805 181285 765749 113133 655815 
375651 621438 60245 751338 145264 133622 242147 857024 141358 296109 ,621438 60245 145264 242147 857024 141358 645488 589369 613408 131978 
841827 392755 246094 59230 804628 668580 27250 610601 190124 69048 ,392755 804628 190124 57832 49415 752427 149592 52931 413320 440169 
467831 736251 478873 199826 264104 264070 791835 105016 839681 903193 ,199826 264104 903193 363691 151170 504901 276897 198081 294175 573007 
111243 535556 161691 217257 216739 351093 237825 822035 38253 254459 ,111243 535556 217257 351093 237825 822035 38253 703807 733213 95359 
853482 828933 912398 984256 73190 760170 915576 80047 123097 144442 ,853482 828933 912398 214428 568223 886320 704083 681860 932403 855273 
545204 993381 446390 545628 340885 674501 760148 194052 272868 757526 ,545204 674501 272868 672838 672815 941443 611029 23987 756767 833200 
649508 653903 653191 646965 647790 647173 672459 814799 650538 653160 ,650538 651423 336992 646741 672358 444584 653677 672801 141920 443690 
482544 752027 748953 314100 317000 295816 312557 844757 661013 824806 ,482544 752027 314100 317000 295816 312557 844757 661013 824806 523098 
8845 228124 459798 749630 228823 929294 87782 255992 237323 315138 ,8845 459798 255992 929453 899181 246832 683875 680320 593083 13004 
17587 140384 158324 59805 662686 464949 105609 464954 151570 68525 ,662686 68525 18093 183179 151160 86514 94484 291882 104734 151141 
839385 110690 126735 129317 238782 472200 284459 839305 126892 440229 ,839385 110690 129317 624241 153681 622603 310718 295723 404767 617862 
543710 526249 279350 543812 530165 489114 464109 795267 405161 279445 ,543812 551846 498752 237033 77580 323113 80016 70621 283951 70555 
640468 642722 640129 657055 640587 642103 616038 616856 994883 673367 ,640129 616038 994883 215857 640401 994795 674144 675957 211436 969127 
446363 446815 447067 446892 445567 446199 445671 446197 446509 447224 ,446815 447224 446159 446048 447118 445617 785754 657641 446899 427134 
963902 799366 799355 799345 792598 606705 804998 779967 805140 592937 ,799355 799345 792598 779967 805140 804641 963826 473606 792584 880724 
687335 682825 904890 853548 846889 637282 237254 419758 700864 378514 ,378888 559529 820576 44 477154 546952 950242 674047 979283 762419 
603715 49579 568491 768423 631604 602555 737927 241982 49578 603716 ,768423 602555 737927 791087 788931 662087 424640 931529 429054 49469 
688911 688642 689464 566650 88995 832283 451936 859240 876777 610962 ,832283 451936 859240 876777 610962 518176 265870 201592 610191 888610 
983775 85425 83591 728993 343435 84640 984336 393645 821557 976451 ,83591 984336 393645 409880 14110 182005 528379 634372 393572 338588 
459390 44989 599209 599218 219524 453034 431050 459284 452659 232664 ,44989 599209 599218 453034 452659 311416 408831 396863 829169 44866 
929126 173645 432869 127395 805750 128864 172995 488826 105826 585197 ,127395 123775 129465 596651 110946 155816 3515 2388 171963 830825 
403706 967239 399987 573943 229701 742656 582773 931816 15867 228702 ,964189 894972 868320 855335 220736 839667 755249 225088 225311 839438 
226919 525559 333507 662049 527353 97076 661745 737868 294715 171665 ,661745 111047 111793 666265 136127 527465 364971 506491 944228 569375 
846215 621972 752435 727649 651042 910774 780722 512337 482334 933363 ,621972 752435 651042 910774 780722 570095 508815 585781 210824 686691 
398421 56864 185283 57944 813732 53579 828471 410468 882882 53608 ,56864 813732 972862 383539 807900 488137 143814 942114 54767 206943 
826828 827657 564553 298179 434895 141276 548558 158569 981821 841407 ,826828 564553 298179 434895 540753 896958 336286 297260 365534 865007 
606470 329779 837282 315949 926003 259442 183278 868342 438802 791651 ,315949 926003 193839 836825 193417 533013 137134 543087 260020 128116 
975674 724049 308634 889485 116467 761495 984123 159287 889337 725125 ,724049 308634 889485 889337 847241 61718 449074 141220 307434 663107 
356548 278608 95480 548661 338391 683770 473659 84209 336766 629603 ,356548 278608 95480 683770 629603 95430 822359 10440 602206 93205 
26716 128312 391739 391737 68486 87094 795343 321854 416111 104989 ,128312 68486 87094 416111 520804 547422 66315 795217 283052 30530 
765008 828125 550364 891398 549438 825443 766594 861540 777570 609144 ,891398 825443 861540 921440 869835 203972 765894 550591 545635 374709 
895242 292307 895262 601379 601109 429002 503569 292256 428716 953197 ,953197 787051 998435 599585 359735 344635 778663 211528 292657 427687 
447558 734109 345628 736687 312273 744896 3592 447536 396187 733583 ,447558 734109 312273 744896 3592 447536 733583 918456 315569 162781 
831832 835708 637653 757973 373903 757352 760068 144918 970465 567202 ,831832 835708 637653 757973 757352 760068 144918 970465 567202 144989 
652016 677434 643568 871604 934777 388628 767552 652188 41156 616354 ,934777 388628 652188 863376 638663 992151 951406 934634 606712 8418 
310222 457868 194626 273442 504268 937358 503855 137542 400361 577374 ,273442 937358 82072 182422 456622 266179 201901 813662 100658 34962 
179815 47551 928825 213635 314309 350010 81589 413034 321300 359841 ,47551 928825 213635 314309 350010 81589 413405 876503 180192 125813 
448751 935018 242163 337744 386255 93817 681077 978607 158788 892135 ,448751 935018 242163 337744 93817 681077 892135 88000 627688 430642 
793966 896565 748692 789329 833581 217169 792845 995660 710535 986619 ,793966 833581 217169 792845 111495 543024 585729 904475 380544 863422 
382917 45487 771844 953954 46094 533392 927418 927488 927588 590739 ,45487 46094 927418 927488 927588 649422 157527 626649 136738 832034 
905574 685908 620247 479290 9079 6245 555125 754261 475086 37811 ,479290 6245 37829 250527 37800 411584 255326 44440 409012 81981 
550991 558307 517541 646836 597776 526328 646059 627421 943782 682551 ,526328 627421 287739 730312 523974 627970 622876 916239 531781 731374 
557706 36448 903693 537915 807912 847124 556677 903403 546823 397754 ,36448 903693 537915 807912 917775 949825 699638 309068 897110 475886 
599724 656092 599944 656344 417910 418312 510121 33895 780505 905432 ,599724 656092 599944 656344 418312 510121 780505 905432 343712 363958 
6379 945260 815150 371510 806216 187549 781851 678015 389955 806326 ,815150 389955 678175 787817 291970 177042 787970 163668 203004 132275 
646198 649429 632952 897800 283955 10597 197054 275870 580539 401365 ,646198 649429 632952 649811 706462 942756 276658 308767 543210 823901 
210348 858043 533668 595128 412189 535976 48496 469089 544633 199728 ,210348 858043 533668 595128 412189 469089 544633 199728 19836 412402 
847052 582215 846423 116886 847066 810792 325284 354591 717248 847441 ,847052 582215 846423 116886 847066 354591 717248 501229 717188 455734 
637661 637569 559975 559918 637315 253863 780465 74707 498742 424452 ,637661 74707 498742 424452 745742 16532 322241 514124 426755 241000 
425609 84046 688324 42014 755064 668854 688282 57340 84503 580274 ,425609 84046 688324 42014 668854 84503 668794 580274 42296 900516 
522096 190550 131040 241718 305937 151845 131150 350624 306433 306194 ,190550 131040 305937 151845 131150 306433 502602 105027 306290 522154 
275914 946954 263258 403472 196264 275080 547249 311398 782560 307854 ,946954 263258 196264 275080 311398 782560 406536 403211 469112 952137 
544172 772186 757177 248546 247104 143641 535595 374814 795185 374058 ,772186 757177 247104 143641 374814 795185 374058 853812 833231 824071 
538087 879148 869763 829028 286297 978897 557583 637857 709195 537774 ,538087 879148 829028 286297 978897 557583 709195 978283 410943 354525 
496326 494853 506320 522302 739283 522744 789158 509530 492786 302437 ,496326 522302 739283 522744 302437 502110 343506 362624 562679 589651 
602017 150010 29824 597242 150390 511983 23422 635826 633948 211605 ,602017 150010 29824 597242 150390 511983 635826 211605 27367 636471 
835945 836852 454653 802134 462832 695879 454159 390756 381986 179797 ,835945 454653 802134 695879 454159 381986 179797 795220 534274 704387 
75856 424176 17030 17344 248054 461524 71298 831328 78600 308575 ,424176 17030 248054 831328 322010 18507 740972 461222 914698 411447 
784848 784819 658137 363403 79612 825635 528614 79509 982233 51541 ,784819 422873 720636 430777 421480 446522 51833 31427 23606 733074 
365053 351808 351139 312121 738947 740771 351177 197070 206481 270759 ,365053 744444 201274 265552 770791 380707 306896 203378 267656 9059 
728369 911254 699390 427860 154023 526511 687462 797710 428339 778028 ,728369 911254 699390 526511 443949 177742 720990 295418 184893 526609 
727185 928027 15011 663321 211917 212710 890408 720413 679875 169344 ,15011 211917 212710 890408 679875 169344 189556 118437 576913 910695 
596130 441349 371834 68976 125392 757872 454456 758494 30245 94831 ,441349 68976 454456 370099 59362 924447 730257 547184 151703 701500 
625395 491077 626158 171646 859789 170489 300656 915121 285641 860074 ,491077 626158 171646 170489 300656 625813 98625 144009 822252 493923 
791173 326784 279913 807467 661676 477212 856134 374408 280462 196026 ,791173 374408 280462 274842 196026 791407 814265 38749 899538 45676 
390382 390295 60029 843224 748148 13308 15757 483505 489652 491389 ,843224 489652 491389 134358 617139 806318 840894 715386 126779 525676 
577428 849949 774393 891062 135856 940923 300433 594519 813272 985427 ,891062 940923 300433 813272 290872 430158 217656 225639 947288 550645 
101399 969162 423424 259977 163837 417123 529544 858697 295030 174868 ,101399 423424 259977 163837 417123 174868 293121 617500 194264 616783 
249671 61887 457878 840584 260698 560972 876466 398389 222996 68940 ,756496 828304 363114 683283 578808 393101 194383 756655 554853 607690 
845749 96832 984154 374514 983670 374117 166755 878326 876881 588230 ,845749 374514 374117 845425 249186 645845 585214 374192 574743 762854 
385176 670560 678098 972319 663573 904984 216622 52155 763192 641487 ,385176 904984 52155 641487 885771 115235 560749 541908 249691 856589 
246717 292379 294699 420906 305865 246670 294368 131432 717169 246653 ,246717 420906 294368 131432 905505 132976 499708 52135 869245 469666 
811558 719246 719163 826274 323417 749276 516540 86895 997965 454666 ,749276 997965 304778 70380 319231 250033 324601 525151 826098 668764 
385137 892592 130796 243932 819389 695348 608272 602023 248596 250267 ,892592 130796 243932 819389 608272 602023 248596 250267 167269 163143 
878736 376358 228653 604562 604805 899772 608530 376348 225755 605694 ,604562 604805 139868 90469 228458 42403 227467 865654 357421 415854 
321125 471753 94014 693723 598657 331517 354545 156037 636066 264014 ,321125 94014 354545 156037 290681 372284 471691 693347 312209 276983 
875732 383761 127737 875339 331722 908391 332702 331662 894365 380307 ,383761 875339 908391 894365 380307 414729 141077 274227 195411 41280 
940543 988293 698248 379483 627255 156711 671882 836395 22822 155590 ,940543 379483 65745 939779 9280 978963 128222 157240 685180 368611 
236426 950327 826881 698562 496105 259505 944228 66501 106337 524222 ,236426 698562 524222 68738 889134 323556 962088 950639 999435 286930 
432266 700129 480742 491159 195023 273839 998428 261511 487508 600763 ,195023 193725 216099 298186 416344 865270 379243 965845 174184 467607 
96396 175547 369846 817850 826378 392866 413929 827408 819300 439763 ,817850 367580 818285 94231 186133 983718 984394 860200 32419 359670 
432345 210071 876751 919075 436790 888064 198272 277088 18358 894829 ,432345 876751 198272 18358 595867 787413 767820 796930 439888 976025 
941654 950171 947848 941600 947729 947794 392256 614745 594038 594069 ,594038 151489 799350 915476 11511 293034 514162 594103 723499 526709 
963172 374495 374383 919688 791497 964571 139727 763882 51214 900823 ,791497 964571 763882 51214 230948 90037 900805 838362 304536 849577 
570493 422836 422879 426929 426998 323978 607107 570202 351096 292605 ,570493 426929 323978 570202 151633 337898 814210 850380 800276 994113 
288542 339908 567610 559016 612547 258839 108128 341357 696709 365254 ,339908 612547 618954 229282 91937 911964 540909 97226 248407 972823 
759504 207431 957322 207501 839987 833284 885632 468687 374906 104241 ,759504 207431 207501 839987 885632 104241 839815 611995 902001 11918 
438395 67839 670973 68288 643916 74242 248182 669194 224931 103853 ,670973 248182 224931 951159 743560 326126 70749 299296 493456 872147 
886680 886806 121787 310992 202674 847797 342577 835159 355448 347335 ,886806 121787 310992 847797 835159 347335 1325 120455 835806 680844 
466262 797172 530467 503657 529155 150416 954860 318101 712968 503240 ,466262 797172 954860 496196 966010 529610 927935 943153 264661 12415 
922047 709742 800237 437758 921114 105224 516756 723830 364859 301196 ,922047 709742 800237 921114 364859 301196 397620 904103 263926 329469 
633388 696189 223839 194710 273526 197977 276793 703497 17001 681806 ,633388 276793 681806 400988 406453 806577 833222 179637 162704 273720 
225194 659998 661155 921517 660367 659908 61761 561153 92579 60050 ,921517 659908 61761 60050 226215 60975 862979 637400 265033 862260 
584637 924592 702870 303340 35930 486817 358138 515413 610091 237952 ,924592 486817 237952 280774 696590 133631 21014 687514 369895 73551 
449903 529175 487984 687603 753142 649923 529665 432000 253314 532523 ,449903 687603 26630 24125 397520 911759 551990 284781 905039 385766 
748193 748397 392986 518803 679430 356202 457330 171101 806382 155120 ,748193 518803 806382 6865 262432 384234 748799 835885 125990 549313 
680002 125829 335119 27351 613246 659568 202639 87071 915599 172158 ,335119 27351 172158 289771 174307 171332 221418 520480 635375 612917 
352564 342467 339910 317212 345799 254980 150675 165467 310092 435770 ,150675 310092 435770 2973 617301 86523 196681 136257 563258 438936 
192640 271456 197284 276100 78319 697484 196673 482591 435799 157035 ,276100 435799 351184 336767 237651 61712 494631 238648 844043 345914 
454032 460820 454124 972039 971058 386143 846440 516002 562813 317505 ,454032 460820 972039 386143 516002 317505 165503 396281 459158 890423 
995104 185776 991237 828442 449031 828247 451423 449557 782288 409347 ,995104 828442 449031 828247 782288 423862 472510 825196 894567 951299 
797413 337534 516482 305042 29341 31497 808865 707136 121127 272209 ,272209 198236 494997 788575 796705 493658 172643 467885 635550 487409 
889802 814190 446933 424343 41383 375136 518583 445666 913214 814173 ,889802 814190 41383 913214 422973 642155 953334 41291 814240 424643 
338172 262456 289339 288739 341355 501039 235812 983243 525350 524940 ,288739 341355 501039 658527 632726 159761 496290 123560 560296 152791 
968442 193282 464164 304612 822724 9700 401388 975608 175172 188961 ,9700 188961 733453 172566 100815 960170 172490 823011 633517 533294 
55716 354790 712776 978129 72371 603053 481292 55696 711996 873545 ,873545 786634 79801 126879 151663 865135 194139 881524 170486 712470 
37543 632166 141221 831856 830154 181288 385266 867653 246386 854957 ,830154 385266 424140 914307 691261 985500 728355 914731 836971 520275 
92124 678766 82008 88580 299180 90092 88789 521871 94362 80133 ,82008 88789 521871 124594 262227 381002 309709 127089 522433 322043 
70214 69125 292204 294403 473079 134 684162 215078 729644 971301 ,294403 215078 971301 306327 473208 524679 431834 84107 529141 291663 
665403 665336 72661 488543 597706 806727 806401 137302 994599 489633 ,665336 72661 488543 806401 137302 489633 440948 484460 365679 6014 
21749 563838 873757 246053 767382 579783 857701 332481 333824 565744 ,21749 563838 873757 246053 874500 562945 84805 328347 727198 612608 
616250 893872 647199 706738 637125 30185 882065 219404 68964 912801 ,616250 893872 647199 706738 637125 30185 882065 526964 864887 615285 
420964 420954 168118 511417 866658 872972 689369 318618 320652 124880 ,420964 420954 168118 511417 688658 856774 875673 798668 873776 787373 
472545 343932 550774 341711 108736 608693 615877 427801 810770 380497 ,472545 343932 108736 608693 615877 427801 810770 107025 775627 324907 
152035 501039 82942 281790 82517 291943 220432 282821 560278 503184 ,152035 501039 82517 220432 429453 429385 464768 83123 307043 684526 
519620 870286 319064 15567 619624 465269 200957 265235 862502 398910 ,519620 200957 265235 862502 199736 278552 269595 198633 277449 58506 
703986 831121 585240 848156 152589 349630 262442 490201 329078 908061 ,831121 848156 152589 349630 490201 908061 403627 691805 707743 233137 
136823 790603 370254 62019 663465 746328 955727 467857 127449 410504 ,136823 62019 663465 746328 955727 467857 127449 139271 313642 308011 
859192 142443 624743 141396 829976 829800 137011 181453 48004 815187 ,859192 142443 624743 141396 829976 829800 181453 48004 815187 160696 
742629 742337 894570 476844 242015 586974 416926 547400 780282 294048 ,742337 476844 477215 476838 293598 306183 416266 217485 21037 337592 
629289 627988 705736 677769 216550 207331 17019 17113 708625 250091 ,629289 627988 677769 216550 981295 399300 421010 842725 714953 714668 
949499 361113 501388 100058 426368 659362 193331 272147 52611 200234 ,426368 272147 193331 52611 412233 225501 518194 448566 600386 506284 
3406 613737 124760 180417 13470 558865 15533 707451 669559 749593 ,3406 749593 939849 461090 462334 515050 124754 597483 710245 242865 
927799 39544 39506 204253 268531 577322 130146 198435 860487 860243 ,39506 204253 268531 39511 202846 267124 575484 704423 169086 26527 
936109 402167 537911 881699 380787 412595 398594 331725 749811 468260 ,537911 380787 412595 398594 331725 749811 468260 460897 399405 415311 
175092 339512 823111 832424 910743 256151 98639 210691 521937 732333 ,832424 521937 88959 547421 884426 713659 802842 686990 188599 16616 
18841 793836 113303 971708 522349 983157 70196 983806 196809 275625 ,18841 113303 196809 934530 896829 165345 376392 932585 370523 265299 
929221 929405 929195 929916 523178 853052 965327 386383 916208 633247 ,929195 853052 121093 929346 520125 425708 195126 273942 988197 884074 
429034 469167 427801 609099 347998 501349 5813 40410 768886 40339 ,429034 469167 427801 609099 501349 5813 40410 768886 543475 469094 
643166 643694 735490 643350 754046 644338 638828 39226 37670 830380 ,207773 700350 605865 882118 429178 767884 558090 789401 38302 400871 
522740 693972 204869 411425 519051 91877 528408 238259 94229 659698 ,693972 411425 91877 528408 659698 730946 563694 454097 889203 90054 
419624 897692 899213 925351 737214 897683 461623 571831 942032 944910 ,899213 571831 936697 434105 733881 737477 258360 647363 139270 590587 
622972 625330 217562 766850 859266 764958 907300 891410 850122 765412 ,622972 625330 217562 764958 907300 765412 814397 995430 799509 803270 
917618 375010 11685 51172 11183 658066 424699 639030 543536 917313 ,917618 375010 11685 51172 424699 543536 917313 257356 415297 540539 
583554 863354 377822 517074 761407 759166 597214 633718 548243 429295 ,583554 761407 806631 510244 534362 127458 328816 990522 326932 712179 
337495 337998 339643 346782 337853 366322 488448 366239 67652 436346 ,337998 346782 337853 366322 366239 67652 436346 106319 738466 336810 
