L,Cmps,QPS,Recall
1700,18259,106.667,99.55
1400,16129,122.775,99.5
1100,13771,145.985,99.35
1000,12923,155.521,99.3
900,12031,170.358,99.2
800,11104,186.916,99.15
700,10123,206.186,99.15
600,9080,231.75,99.1
500,7975,267.023,99.05
400,6788,316.957,98.9
300,5487,396.825,98.6
250,4782,460.829,98.35
200,4032,550.964,98.1
180,3725,593.472,97.95
160,3406,655.738,97.85
140,3073,729.927,97.55
120,2731,826.446,97.3
100,2373,956.938,96.75
90,2190,1025.64,96.25
80,1999,1123.6,96
70,1807,1242.24,95.5
60,1605,1418.44,94.75
55,1505,1526.72,94.4
50,1403,1639.34,93.8
45,1294,1769.91,93.2
40,1186,1941.75,92.45
35,1081,2127.66,91.5
30,970,2380.95,90
25,851,2702.7,88.1
20,736,3125,85.75
15,624,3703.7,82.85
10,491,4761.9,74.75
