GT,Result
670881 161065 565981 151885 648267 741859 719048 888556 622636 225523 ,670881 161065 565981 151885 741859 719048 888556 622636 225523 639610 
153297 883499 723696 245771 72412 892621 443341 471970 538966 430381 ,153297 883499 723696 245771 72412 892621 443341 471970 538966 430381 
724067 607663 572877 73306 513479 749709 456784 335955 126928 1029421 ,724067 607663 572877 73306 513479 749709 456784 335955 126928 1029421 
977904 924698 967229 553440 557920 1046694 677587 680164 908807 570175 ,977904 924698 967229 553440 557920 1046694 677587 680164 908807 570175 
353251 47765 142544 305303 47442 47660 276548 330843 122801 892971 ,353251 47765 305303 47442 47660 276548 330843 122801 892971 294188 
824155 946895 478487 318093 532652 555799 249019 490347 572229 302687 ,824155 946895 478487 318093 532652 555799 249019 490347 572229 302687 
901404 512297 637398 169201 894242 162329 643655 630125 516334 343321 ,901404 512297 637398 169201 894242 162329 643655 630125 516334 343321 
101097 768794 124529 66906 70921 179949 587706 171682 196061 107764 ,101097 768794 124529 66906 70921 179949 196061 107764 1019352 128490 
372091 378311 876160 648495 59750 512018 358125 946855 361049 473174 ,372091 378311 876160 648495 512018 358125 946855 361049 473174 354350 
778930 197179 1039949 744877 795317 564585 770236 554218 845760 765587 ,778930 197179 1039949 744877 795317 564585 770236 554218 845760 765587 
475080 311799 77632 473616 312717 312341 716402 616105 544617 255530 ,475080 311799 77632 473616 312717 312341 716402 616105 255530 946546 
107345 904766 426579 42121 164561 64540 173024 869040 46784 199750 ,107345 904766 426579 42121 164561 64540 173024 869040 46784 199750 
1051544 31934 409826 63983 578488 245696 354514 988924 404261 400283 ,1051544 409826 63983 578488 245696 354514 988924 404261 400283 438291 
821310 897452 581282 774101 818407 758292 808062 826522 813639 765873 ,821310 897452 581282 774101 818407 758292 808062 826522 813639 765873 
880274 155325 918990 106889 986937 357602 716381 904782 492092 137899 ,880274 918990 106889 986937 357602 716381 904782 492092 137899 584658 
1009063 631543 807622 717359 185872 148086 118307 181868 166813 158250 ,1009063 807622 717359 185872 148086 118307 181868 166813 712401 76196 
432605 265158 1043785 1047040 364871 999780 1033475 381281 122793 251502 ,432605 265158 1043785 1047040 364871 999780 1033475 381281 251502 292982 
159777 208176 117055 468164 215217 680939 421362 736562 861861 570893 ,159777 208176 117055 468164 215217 680939 421362 736562 861861 570893 
142021 890068 987079 177312 945204 956908 858606 871473 142360 700781 ,142021 890068 987079 177312 945204 956908 858606 871473 700781 174908 
671236 483669 670429 834008 831850 1047383 568049 261530 372397 187085 ,671236 483669 670429 834008 831850 1047383 568049 261530 372397 187085 
463521 184905 1040945 214254 149564 1034235 871766 97033 230685 679859 ,463521 184905 1040945 214254 149564 1034235 871766 97033 230685 679859 
141860 897248 206711 474972 681321 468069 701008 681052 699176 701243 ,141860 897248 206711 474972 681321 468069 701008 681052 699176 701243 
514610 715056 1049175 430557 771905 574427 995936 571880 513996 266375 ,514610 715056 1049175 430557 771905 574427 995936 571880 513996 266375 
128653 886649 537856 6342 56077 187549 966231 69630 111049 916056 ,128653 886649 537856 6342 56077 187549 966231 69630 111049 916056 
510196 1055410 361449 359234 404377 380723 410139 340448 362138 261460 ,510196 1055410 361449 359234 404377 380723 410139 340448 362138 261460 
138654 267716 275051 348642 956636 688303 991221 363118 1001627 348210 ,138654 267716 275051 348642 956636 688303 991221 363118 1001627 348210 
977152 690017 714977 874099 1038663 465430 1001036 421022 899412 690847 ,977152 690017 714977 874099 1038663 465430 1001036 421022 899412 690847 
420033 439802 564809 868628 426517 524107 210505 520747 217281 472385 ,420033 439802 564809 868628 426517 524107 210505 520747 217281 472385 
926124 121812 859799 784540 424407 559940 919493 873281 968928 526162 ,926124 121812 859799 784540 424407 559940 919493 873281 968928 526162 
355765 579013 956636 363954 252111 305033 363168 378881 249490 331543 ,355765 579013 956636 363954 252111 305033 363168 378881 249490 331543 
594638 1054022 325240 638260 1422 407408 721631 981910 505374 325485 ,1054022 325240 638260 407408 721631 981910 505374 9507 456068 735792 
