L,Cmps,QPS,Recall
1700,27,66666.7,97.35
1400,27,200000,97.35
1100,27,200000,97.35
1000,27,200000,97.35
900,27,200000,97.35
800,27,200000,97.35
700,27,200000,97.35
600,27,200000,97.35
500,27,200000,97.35
400,27,200000,97.35
300,27,200000,97.35
250,27,200000,97.35
200,27,200000,97.35
180,27,200000,97.35
160,27,200000,97.35
140,27,200000,97.35
120,27,200000,97.35
100,27,200000,97.35
90,27,200000,97.35
80,27,200000,97.35
70,27,200000,97.35
60,27,200000,97.35
55,27,200000,97.35
50,27,100000,97.35
45,27,200000,97.35
40,27,200000,97.35
35,27,200000,97.35
30,27,200000,97.35
25,27,200000,97.35
20,27,200000,97.35
15,27,200000,97.35
10,27,200000,97.35
