GT,Result
394267 321641 21292 396246 21557 374426 382981 40582 746350 374109 ,394267 321641 21292 396246 21557 374426 382981 40582 746350 374109 
201700 676071 216192 961653 867207 416238 942856 241710 1010590 228986 ,201700 676071 216192 961653 867207 416238 942856 241710 1010590 228986 
582551 871988 453377 732570 885517 703156 594385 578160 453564 860989 ,582551 871988 453377 732570 885517 703156 594385 578160 453564 860989 
200244 8802 905263 1016892 200246 146814 482903 183849 837081 96940 ,200244 8802 905263 1016892 200246 146814 482903 183849 837081 96940 
501384 135205 76274 597563 343732 317753 199888 764045 240310 382202 ,501384 135205 76274 597563 343732 317753 199888 764045 240310 382202 
800432 45728 372951 1020405 364521 923605 459972 1030769 283160 207291 ,800432 45728 372951 364521 923605 459972 1030769 283160 207291 560903 
111882 79213 23595 351705 93252 256396 769380 23769 180967 293531 ,111882 79213 23595 351705 93252 256396 769380 23769 180967 293531 
928732 210366 651451 205695 684129 660752 129773 462235 198400 939442 ,928732 210366 651451 205695 684129 660752 129773 462235 198400 939442 
460822 502228 1009063 127592 674666 875812 292702 711518 508586 249064 ,460822 502228 1009063 127592 674666 875812 292702 711518 508586 249064 
971895 690958 941594 943536 162848 935947 930780 1001079 559133 966754 ,971895 690958 941594 943536 162848 935947 930780 1001079 559133 966754 
887021 887392 715167 960737 690507 736760 941594 715375 690639 1001079 ,887021 887392 715167 960737 690507 736760 941594 715375 690639 1001079 
984884 263331 383573 340071 469191 697823 361041 326158 575500 382364 ,984884 263331 383573 340071 469191 697823 361041 326158 575500 382364 
1055650 191447 644371 873043 994431 436672 980939 659791 52057 597959 ,1055650 191447 644371 873043 994431 436672 980939 659791 52057 597959 
898523 1032086 1045232 936130 310713 131290 23289 101363 57791 688599 ,898523 1032086 1045232 936130 310713 131290 23289 101363 57791 688599 
145936 707125 144641 104781 104319 208164 830131 685969 121230 1009162 ,145936 707125 144641 104781 104319 208164 830131 685969 121230 1009162 
200343 750212 971530 939020 833419 1037254 605151 988788 742333 550612 ,200343 750212 971530 939020 833419 1037254 605151 988788 742333 550612 
53195 467457 53074 390314 341634 172422 54921 389996 2076 92505 ,53195 467457 53074 390314 341634 172422 54921 389996 2076 92505 
728670 1034719 728755 1034718 628945 728667 1034717 728663 728530 527234 ,728670 1034719 728755 1034718 628945 728667 1034717 728663 728530 527234 
434933 441090 350353 954114 339037 336545 371244 572430 325890 443068 ,434933 441090 350353 954114 339037 336545 371244 572430 325890 443068 
510751 454255 346888 404801 366367 758028 402496 405897 399781 403640 ,510751 454255 346888 404801 366367 758028 402496 405897 399781 403640 
173572 662964 696033 712294 320779 875296 537391 908333 1028321 562094 ,173572 662964 696033 712294 320779 875296 537391 908333 1028321 562094 
58354 418004 569035 319263 376135 143098 296451 122272 773346 135525 ,58354 418004 569035 319263 376135 143098 296451 122272 773346 135525 
1022117 474109 558473 755304 439684 806612 136901 71789 645100 43615 ,1022117 474109 558473 755304 439684 806612 136901 71789 645100 43615 
859783 69929 241109 991222 14961 439673 226090 144429 164689 324541 ,859783 69929 241109 991222 14961 439673 226090 164689 324541 922661 
