GT,Result
132517 363468 309330 956369 41262 466284 132887 646805 1018764 885654 ,132517 363468 309330 956369 41262 466284 132887 646805 1018764 885654 
917709 771632 737997 375004 943993 350805 606307 335142 901349 270608 ,917709 771632 737997 943993 350805 606307 335142 901349 270608 313024 
724197 4339 155786 567981 315307 750687 425287 427489 463305 711554 ,724197 4339 315307 750687 425287 427489 463305 711554 72266 1040212 
696399 161558 999922 919147 172747 907043 543803 702276 568153 706310 ,696399 999922 919147 172747 907043 543803 702276 568153 706310 965548 
982930 342519 435549 571527 126342 1021254 415957 160037 441811 943228 ,982930 342519 435549 126342 1021254 415957 441811 943228 553464 899092 
757531 350287 329506 336226 364338 387834 671024 358037 442239 483932 ,757531 350287 329506 336226 364338 387834 671024 358037 442239 483932 
50777 322461 53278 750643 64732 899480 100807 203775 371329 575372 ,50777 322461 53278 64732 899480 100807 203775 575372 51278 863870 
704737 459793 271414 463570 1046124 872519 1005650 202530 800483 913671 ,704737 459793 271414 463570 1046124 872519 1005650 202530 800483 913671 
142585 350829 65279 37377 823399 356135 184827 126881 146538 418033 ,142585 350829 65279 37377 823399 356135 184827 126881 146538 418033 
131194 479431 106090 22247 116977 227301 992924 439709 931977 466250 ,131194 479431 22247 227301 992924 439709 931977 162621 384399 334524 
234669 959282 961734 561243 866958 209069 558220 583015 915891 585284 ,234669 959282 961734 561243 866958 209069 558220 583015 915891 585284 
288248 313212 380845 252682 119370 870884 975221 6387 252655 318289 ,288248 313212 380845 252682 119370 870884 975221 6387 252655 318289 
133083 575670 165092 148267 209946 686100 996857 999891 923382 500472 ,133083 575670 148267 209946 686100 996857 999891 923382 500472 326780 
423973 594829 836360 70577 43563 59135 662092 601757 458375 629426 ,423973 594829 836360 70577 43563 59135 662092 601757 458375 629426 
670385 512605 179349 879407 798827 241810 1046255 537687 874189 387303 ,879407 366234 633527 244082 382567 890201 1023347 755234 810602 512169 
196824 164920 436427 939321 468566 559290 196827 156070 559277 1034869 ,196824 436427 939321 468566 559290 196827 559277 1034869 690433 986895 
370890 410780 510751 454255 346888 309513 404801 366367 758028 402496 ,370890 410780 510751 454255 346888 309513 404801 366367 758028 402496 
295277 269439 288134 256961 283215 283212 53401 574946 332258 257024 ,295277 269439 288134 256961 283215 283212 53401 574946 332258 257024 
688694 588255 1033267 939604 666378 687988 936648 429809 733517 1045730 ,688694 588255 1033267 939604 666378 687988 936648 733517 1016931 787247 
913887 730490 427078 1019486 787704 188597 860138 449666 1010025 1003819 ,913887 730490 427078 1019486 787704 188597 860138 449666 1010025 1003819 
805507 818725 756504 747528 600998 813860 817329 469397 810404 1033326 ,805507 818725 756504 747528 600998 813860 817329 469397 810404 1033326 
374140 385550 930962 967873 939398 192230 441749 181274 268576 290353 ,374140 930962 967873 939398 192230 441749 181274 351135 875822 506650 
418815 987209 171764 469781 930722 860109 522807 1011480 514909 546239 ,987209 171764 469781 930722 860109 522807 1011480 514909 546239 239840 
115139 583452 163467 770247 236883 681445 316873 938596 131864 445291 ,115139 583452 163467 770247 236883 681445 316873 938596 131864 445291 
558446 558450 158645 721660 560977 124339 512488 419993 543370 126812 ,558446 558450 721660 560977 124339 512488 419993 543370 638205 47383 
279124 322309 260187 188336 442931 253122 379336 435143 463076 192750 ,322309 442931 101476 54903 975826 254124 339756 10522 354029 1011897 
134014 183773 596861 114354 612502 67213 10597 906551 102861 686168 ,183773 612502 67213 10597 906551 686168 791762 168111 301228 618085 
243860 310477 431493 270143 358526 280907 66274 180179 66632 756834 ,243860 431493 270143 358526 280907 180179 66632 756834 951385 1019352 
263023 289899 518468 922565 272974 683905 450836 1031997 141853 544159 ,263023 289899 922565 272974 450836 1031997 141853 544159 278863 971907 
610711 570119 960571 1006024 567470 868981 925342 999903 609014 423544 ,610711 570119 960571 1006024 567470 868981 925342 999903 609014 423544 
87060 182688 87062 87057 365442 5904 360737 338065 542070 266086 ,87060 182688 87062 87057 365442 5904 360737 338065 542070 266086 
279767 466622 925818 701989 960509 538569 1001539 882988 766553 551701 ,279767 466622 925818 701989 960509 538569 1001539 882988 766553 551701 
769726 395718 572814 79290 970659 291409 430308 768537 721321 321283 ,769726 395718 572814 79290 970659 291409 430308 768537 721321 321283 
1046752 738456 239090 995987 811427 286112 916312 151124 1048531 218646 ,1046752 738456 239090 995987 811427 286112 916312 151124 1048531 218646 
778282 193633 52715 100849 83243 143876 174366 483324 166708 468747 ,778282 193633 52715 100849 83243 143876 483324 166708 468747 183907 
954309 308619 322167 367755 247054 953510 574776 1020401 257021 333119 ,954309 308619 322167 367755 247054 953510 574776 1020401 257021 333119 
655103 80607 160346 551603 723830 989616 584006 721030 649785 724483 ,655103 80607 160346 551603 723830 989616 584006 721030 649785 724483 
605857 766496 722251 22868 658578 60448 113403 960773 74028 1033367 ,605857 766496 722251 22868 658578 60448 113403 960773 74028 1033367 
951837 621235 647080 786947 472573 268968 287104 879744 889248 245262 ,951837 621235 647080 786947 472573 268968 287104 879744 889248 245262 
721795 184924 452636 367848 1054676 349946 373545 358047 366452 251540 ,721795 184924 452636 367848 1054676 349946 373545 358047 366452 251540 
135267 66243 228836 923688 11311 830902 928161 11298 1015493 675747 ,135267 228836 923688 11311 830902 928161 11298 1015493 675747 456757 
40270 599615 358124 656196 103152 237928 652861 349308 520103 389377 ,40270 599615 358124 656196 103152 237928 652861 349308 520103 389377 
546788 170750 119309 467080 703932 58011 91292 64879 33693 163818 ,546788 170750 119309 467080 703932 58011 91292 64879 33693 163818 
34285 566216 34339 884443 34292 486422 580243 99229 34347 525383 ,34285 566216 34339 884443 34292 486422 580243 99229 34347 525383 
683975 950357 990425 1033796 579261 708727 542461 266399 501713 209108 ,683975 950357 990425 1033796 579261 708727 542461 266399 501713 209108 
394561 387774 510625 29212 1029127 315619 510023 119837 364000 732172 ,394561 387774 510625 29212 1029127 315619 510023 119837 364000 732172 
909507 717580 901262 820870 177643 777495 787759 123958 314930 827734 ,909507 717580 901262 820870 177643 777495 787759 123958 314930 827734 
950861 252498 900954 441418 363473 356649 348255 892968 969834 489764 ,950861 252498 900954 441418 363473 356649 892968 489764 771935 327624 
865236 259239 380639 191829 741444 369055 571064 889818 303193 247972 ,865236 259239 380639 191829 741444 571064 889818 303193 247972 284708 
740236 869431 942111 710476 76226 103425 340581 532221 495597 912998 ,740236 869431 942111 710476 76226 103425 340581 532221 495597 912998 
124174 260263 394249 362564 301547 372151 345598 337735 280279 326551 ,124174 260263 394249 362564 301547 372151 345598 337735 280279 326551 
469174 424154 516489 879900 161568 243102 170454 462138 164256 957921 ,469174 424154 516489 879900 243102 170454 164256 957921 287305 324814 
58885 677644 920115 689355 149955 933235 215868 237528 433277 879904 ,58885 677644 689355 149955 237528 433277 879904 200096 40275 659499 
588708 1026935 221584 586226 130307 520621 159306 734421 633311 177354 ,588708 1026935 221584 586226 520621 159306 734421 633311 177354 217106 
583519 789920 620582 757487 1042326 811959 742846 821484 764436 673611 ,583519 789920 620582 757487 1042326 811959 742846 821484 764436 673611 
96426 694898 883281 224531 11756 103023 983463 448495 135765 702055 ,96426 694898 883281 224531 11756 983463 448495 135765 702055 951586 
180963 278644 257698 218011 529826 688339 304210 541220 859101 863455 ,180963 278644 257698 218011 529826 688339 304210 541220 859101 863455 
645241 626980 780313 808662 619473 637659 622105 458707 670569 828403 ,645241 626980 780313 808662 619473 637659 622105 458707 670569 828403 
221945 318259 803689 356060 138408 292588 304600 130963 327442 669081 ,221945 318259 803689 356060 138408 292588 304600 130963 327442 669081 
846748 381257 388090 397694 300196 297398 363697 408295 847007 297790 ,846748 381257 388090 397694 300196 297398 363697 408295 847007 297790 
300512 759807 306666 102088 328230 289747 273610 371427 327435 282227 ,300512 759807 306666 102088 328230 289747 273610 371427 327435 282227 
902631 174174 105100 105092 461754 690862 105059 865236 291873 988747 ,902631 174174 105100 105092 461754 690862 105059 865236 291873 988747 
