L,Cmps,QPS,Recall
1700,55534,32.9924,99.4
1400,49346,37.6294,99.35
1100,42430,44.4346,99.15
1000,39917,46.729,99.1
900,37276,50.3018,99.05
800,34496,54.407,99.15
700,31553,59.8444,99
600,28433,66.7111,98.85
500,25073,75.9301,98.9
400,21450,88.8889,98.55
300,17457,110.193,98.35
250,15291,126.743,98.3
200,12975,147.601,97.95
180,12000,161.421,97.75
160,10980,173.913,97.4
140,9940,195.886,97.25
120,8861,219.78,97
100,7716,251.572,96.6
90,7124,272.851,96.4
80,6510,298.063,95.95
70,5884,330.033,95.25
60,5248,369.004,94.7
55,4926,389.105,94.25
50,4596,421.053,94
45,4259,452.489,93.7
40,3901,495.049,92.75
35,3552,539.084,92.45
30,3186,589.971,91.4
25,2820,680.272,90.05
20,2425,781.25,87.45
15,2024,925.926,83.7
10,1591,1156.07,76.25
