L,Cmps,QPS,Recall
1700,372.00,6171.30,100.00
1400,373.00,7910.62,100.00
1100,373.00,8035.82,100.00
1000,372.00,8148.78,100.00
900,373.00,8170.20,100.00
800,373.00,8157.87,100.00
700,373.00,7115.16,100.00
600,373.00,8116.66,100.00
500,373.00,8213.51,100.00
400,372.00,8382.20,100.00
300,369.00,8781.56,99.85
250,366.00,9101.25,99.75
200,361.00,9520.07,99.55
180,355.00,9762.52,99.25
160,350.00,10036.17,99.05
140,344.00,10352.89,98.45
120,338.00,10856.98,98.20
100,328.00,11511.94,97.60
90,321.00,11967.94,97.55
80,312.00,12476.21,96.60
70,306.00,13050.66,96.40
60,295.00,13627.26,95.30
55,288.00,14195.24,95.05
50,283.00,14359.16,94.90
45,276.00,14875.51,94.75
40,270.00,15565.43,93.80
35,261.00,16205.73,93.30
30,253.00,16712.22,92.65
25,239.00,17438.31,90.55
20,229.00,18236.92,89.25
15,214.00,19418.38,86.05
10,196.00,20869.62,83.90
