GT,Result
138326 138325 138328 3162019 2687088 3803819 2687092 3549527 3110861 3549512 ,138326 138325 138328 3162019 2687088 3803819 2687092 3549527 3110861 3549512 
625666 625671 3040303 625672 2164289 625680 625673 2164288 3549479 980520 ,625666 625671 3040303 625672 2164289 625680 625673 2164288 3549479 980520 
1701237 755221 429022 4185776 1701220 532709 3367164 2933926 4650806 3151933 ,1701237 755221 429022 4185776 1701220 532709 3367164 2933926 4650806 3151933 
2309550 1783497 2543984 2348543 3575456 635402 3804443 4704434 1264985 1935092 ,1783497 2543984 2348543 3575456 3804443 4704434 1264985 1615547 1367285 3804444 
4328974 1817760 1776295 2781207 4701376 1776272 1776293 4701377 4328973 2952400 ,4328974 1817760 1776295 2781207 4701376 1776272 1776293 4701377 4328973 2952400 
3370175 3370176 1803396 4074342 3370137 1803404 3370138 4074341 1803405 4074340 ,3370175 3370176 1803396 4074342 3370137 1803404 3370138 4074341 1803405 4074340 
2028886 2210081 1848883 2866998 2653494 552546 759947 1722824 1738070 1738025 ,2028886 2210081 2866998 2653494 552546 759947 1722824 1738070 1738025 315590 
579805 655219 1439989 659469 4782017 98759 1434783 335895 4408956 3213348 ,579805 655219 1439989 659469 4782017 98759 1434783 4408956 3213348 2840612 
4198563 196820 688479 4200315 207300 714158 3086631 4476681 2518336 1080339 ,4198563 688479 4200315 207300 714158 3086631 4476681 2518336 1080339 249228 
2341017 927166 3636847 23826 4029412 105403 4692206 2630647 23837 3636861 ,2341017 3636847 23826 4029412 105403 4692206 2630647 23837 3636861 249241 
3649048 3275080 511771 1168996 1080347 2514630 2772794 2208133 651882 2772783 ,3649048 3275080 511771 1168996 1080347 2514630 2772794 2208133 651882 2772783 
1236242 4708226 2601288 2589803 1360244 1165436 2601299 2601284 4777694 4850722 ,1236242 4708226 2601288 2589803 1165436 2601299 2601284 4777694 4850722 2406587 
3258296 2815692 3459257 1825732 2514623 3258308 3258293 1825736 1848844 4274277 ,3258296 2815692 3459257 1825732 2514623 3258308 3258293 1825736 1848844 4274277 
1643985 24262 3793177 171945 1861735 439846 439813 3156608 1204409 253808 ,1643985 24262 3793177 171945 1861735 439846 439813 3156608 1204409 253808 
2100226 3657085 3657083 168939 3657035 2100221 1740169 3657087 3657054 3657059 ,2100226 3657085 3657083 168939 3657035 2100221 1740169 3657087 3657054 3657059 
84780 4185324 84781 84777 84778 84782 1279666 2263987 1630845 84797 ,84780 4185324 84781 84777 84778 84782 1279666 2263987 1630845 84797 
3795086 122630 915461 122628 2943340 3795065 122631 2943342 2937466 2937465 ,3795086 122630 915461 122628 2943340 3795065 122631 2943342 2937466 2937465 
3795077 4467656 3577370 2373262 2716404 3270329 3812429 3795056 633038 1265857 ,3795077 4467656 3577370 2373262 2716404 3270329 3812429 3795056 633038 1265857 
3231896 3270327 75802 546690 1510900 4542854 324500 2214744 4056423 2648498 ,3231896 3270327 75802 546690 1510900 4542854 324500 2214744 4056423 2648498 
862660 2192049 1824828 102209 917251 324935 2803420 917245 967574 1038445 ,862660 2192049 1824828 102209 917251 324935 2803420 917245 967574 1038445 
4621222 4621224 1065468 1564649 2222634 4621231 4621235 4621230 4621242 4621237 ,4621222 4621224 1065468 1564649 2222634 4621231 4621235 4621230 4621242 4621237 
3664161 3930410 3930408 3747501 4728889 2863840 4728890 3273677 1877240 3930417 ,3664161 3930410 3930408 3747501 4728889 2863840 4728890 3273677 1877240 3930417 
508889 830568 224186 1596055 224187 4089593 1965205 1596054 33992 2170354 ,508889 830568 224186 1596055 224187 4089593 1965205 1596054 33992 2170354 
1877287 1877266 3747502 1930702 1877279 1877286 1877254 1877244 1877252 1877272 ,1877287 1877266 3747502 1930702 1877279 1877286 1877254 1877244 1877252 1877272 
4755972 1379902 3872685 4108092 3531637 3109993 3490077 442831 3110025 3109989 ,4755972 3872685 4108092 3531637 3109993 3490077 442831 3110025 3109989 4393257 
3930414 3930418 3930417 3930416 3930424 4728890 3918291 3664161 3930410 3930423 ,3930414 3930418 3930417 3930416 3930424 4728890 3918291 3664161 3930410 3930423 
3930407 1332974 3037472 2016798 1509992 2366617 3930409 1332976 2169510 1075108 ,3930407 1332974 3037472 2016798 1509992 2366617 3930409 1332976 1075108 1497978 
2366605 203622 3363572 637717 1622859 116984 3642382 3701460 4780189 4869864 ,2366605 203622 3363572 637717 1622859 116984 3642382 3701460 4780189 4869864 
224175 3930482 3930492 2573606 3930479 10166 3930486 3930477 1622507 429090 ,224175 3930482 3930492 2573606 3930479 10166 3930486 3930477 1622507 429090 
1426075 661905 62939 95752 66397 283966 3047280 3915124 283969 1792432 ,1426075 661905 62939 95752 66397 283966 3047280 3915124 283969 1792432 
1528707 911812 3324085 3918291 4464353 1338989 2038452 3918290 4892893 1559143 ,1528707 911812 3324085 3918291 1338989 3918290 4892893 1559143 4892894 869244 
3899308 4739094 413988 2968354 109966 2560449 231970 1269657 109983 3475591 ,3899308 4739094 413988 2968354 109966 2560449 231970 109983 3475591 4053648 
648305 2674947 3810556 1260343 305826 4911650 2492142 570085 439472 811047 ,648305 2674947 1260343 305826 4911650 2492142 570085 439472 811047 2838174 
3552150 4669144 3064755 2696691 879685 1167369 2664819 3064753 1840108 4443997 ,3552150 4669144 3064755 2696691 879685 1167369 2664819 3064753 1840108 4443997 
3823713 3823712 3823714 3823723 2628528 956762 1094199 3823727 3006108 1959166 ,3823713 3823712 3823714 3823723 2628528 956762 1094199 3823727 3006108 1959166 
2375910 26644 2808588 100994 2067617 437415 280572 91868 3909267 296380 ,2375910 26644 2808588 2067617 437415 280572 91868 3909267 296380 91866 
4080268 429397 91933 1289776 4080269 688734 3958355 1718594 1718601 2140485 ,4080268 429397 91933 1289776 4080269 688734 3958355 1718594 1718601 2140485 
4818169 1994633 1797650 4907611 62159 1879521 1464963 4813413 4367498 4367481 ,4818169 1994633 1797650 4907611 62159 1464963 4813413 4367498 4367481 2425237 
1741357 2860097 687186 4660004 2542356 3988272 1598277 1551873 775167 2823613 ,1741357 2860097 687186 4660004 2542356 3988272 1598277 1551873 2823613 1741370 
4931313 4931317 4931312 4314437 69184 4931306 69183 3581449 1567354 4327315 ,4931313 4931317 4931312 4314437 69184 4931306 69183 3581449 1567354 4327315 
614520 30475 99777 244043 1576419 3643598 2074927 2680306 30472 4652319 ,614520 30475 244043 1576419 3643598 2074927 2680306 30472 4652319 629293 
4720774 1358245 99800 3587015 4784683 1358176 4032532 1576398 2961 4113831 ,4720774 1358245 99800 3587015 4784683 1358176 4032532 1576398 2961 4113831 
4606726 192584 1000966 2000317 666081 4465674 1116507 2237914 750275 4515300 ,4606726 192584 1000966 2000317 4465674 1116507 2237914 750275 4515300 2225348 
2958299 3990919 565478 4029738 904732 264725 2643831 1092288 4049276 2313680 ,3990919 565478 4029738 904732 2643831 1092288 4049276 1598041 1114947 3996165 
1279197 1279162 349464 1279160 349462 1279180 3639640 1502168 2456306 4705882 ,1279197 1279162 349464 1279160 349462 1279180 3639640 1502168 2456306 4705882 
1922710 3373701 2274295 151905 2004573 1949105 3889840 649909 3840405 1589229 ,1922710 3373701 2274295 151905 2004573 1949105 3889840 649909 1589229 889987 
2235411 3011107 4273642 4548864 3011104 1285216 4220687 4457268 3516988 2235435 ,2235411 3011107 4273642 4548864 3011104 4220687 4457268 3516988 2235435 3001201 
1072520 313016 1072522 1072524 1072521 4399166 3011070 4845842 4160386 2631876 ,1072520 313016 1072522 1072524 1072521 4399166 3011070 4160386 1072514 3011072 
11589 883291 4443791 779477 802377 2936200 883294 955334 400599 2779082 ,883291 4443791 802377 2936200 883294 955334 400599 2779082 2253706 2368316 
206325 991227 4674340 200901 665634 475121 457419 200927 17927 714188 ,991227 4674340 665634 475121 457419 17927 732461 732453 4892571 3959051 
457397 457402 457395 457429 1894163 457399 457405 1205823 1894164 1205832 ,457397 457402 457395 457429 1894163 457399 457405 1205823 1894164 1205832 
3446270 802423 3446282 4573533 1406069 703410 2175663 296759 901809 4151137 ,3446270 802423 3446282 4573533 1406069 703410 2175663 296759 901809 4151137 
779481 3319583 4409058 4674340 3343519 681872 712830 1462604 3343514 2227457 ,779481 3319583 4674340 3343519 1462604 3343514 2227457 4590653 4450486 3959051 
4717767 2885836 4918576 2885835 1091900 1981147 4717328 800213 2885843 3467176 ,4717767 2885836 4918576 2885835 1091900 1981147 4717328 2885843 3467176 4684574 
2949911 772025 4243329 2411126 1498019 2668781 2949883 772019 3218807 2668755 ,2949911 772025 4243329 2411126 1498019 2668781 2949883 772019 3218807 2668755 
4573384 4717337 3542557 4717340 1263578 2128707 3733732 2483046 4573367 4337624 ,4573384 4717337 3542557 4717340 1263578 3733732 2483046 4573367 4337624 1527621 
2659216 2659218 2678853 2659198 2281040 3559796 2281016 2659169 2659182 2281025 ,2659216 2659218 2678853 2659198 2281040 3559796 2281016 2659169 2659182 2281025 
2061188 2061189 4020691 3895218 1387624 271807 1583779 1375028 3284607 2605625 ,2061188 2061189 4020691 3895218 1387624 271807 1583779 1375028 3284607 2605625 
1841710 190980 3557224 357245 1080349 547934 2643904 540634 2161197 2072670 ,1841710 190980 357245 547934 2643904 540634 2161197 2072670 1724431 246896 
73866 1001567 1087546 1346736 44085 251329 73874 73864 149282 487843 ,73866 1001567 1087546 1346736 44085 251329 73874 73864 149282 519890 
3194494 3194495 327956 1675678 1558080 2825284 652096 327958 1675677 327959 ,3194494 3194495 327956 1675678 1558080 2825284 652096 327958 1675677 327959 
2259982 2161112 2259977 2259984 1265795 2259983 2259978 2259985 3194495 2259979 ,2259982 2161112 2259977 2259984 2259983 2259978 2259985 3194495 2259979 100844 
3287850 4546648 3287818 4142379 4102479 4142382 3990558 4142374 4233515 3204923 ,3287850 4546648 3287818 4142379 4102479 4142382 3990558 4142374 4233515 3204923 
2019034 2040593 2659879 1479773 1544486 2040592 2912035 1343573 3160875 2920259 ,2019034 2040593 2659879 1479773 1544486 2040592 3160875 2920259 3023402 3707492 
19399 19409 1781230 1358298 1358267 3300989 1902230 614518 2455178 2343457 ,19399 19409 1781230 1358298 1358267 3300989 1902230 614518 19393 1781224 
2694085 1851963 1851955 1851965 4367134 1851961 4367127 1851967 3267536 2003876 ,2694085 1851963 1851955 1851965 4367134 1851961 4367127 1851967 3267536 2003876 
4606540 2491901 2774381 4606501 1992320 3865567 4606505 4606502 4152544 759767 ,4606540 2491901 2774381 4606501 3865567 4606505 4606502 4152544 759767 4227979 
3835966 3750973 4323927 600525 1408029 2322050 2842277 201465 600528 2365130 ,3835966 3750973 600525 1408029 2322050 2842277 201465 600528 600531 201459 
415619 4036365 3497943 4386068 3497901 2252720 2493702 1954094 3497900 3513147 ,415619 4036365 3497943 3497901 3497900 2365140 3497939 3497928 3497927 3497916 
4160395 4590253 1355974 347015 1421201 347006 4734543 1648655 1116071 340288 ,4160395 347015 1421201 347006 4734543 1648655 1116071 340288 4104781 1751657 
549190 1243295 2625987 2413261 549188 3969258 430347 2413285 323788 379655 ,2625987 2413261 3969258 430347 2413285 2754143 760596 445375 187335 2413290 
124771 1318805 4903 534458 39366 37669 39394 92171 92128 92140 ,124771 1318805 4903 534458 39366 37669 39394 92171 92128 92140 
216758 4418084 252285 992694 216757 4418064 464903 992734 550014 4418074 ,216758 4418084 992694 216757 4418064 464903 992734 550014 4418074 4418078 
1767199 321793 2861107 2861094 2861110 1425907 1853773 3231925 18868 114061 ,1767199 321793 2861107 2861094 2861110 1425907 18868 114061 554650 992695 
18903 141154 2258070 1444039 1576754 144450 187334 3018826 144463 3509499 ,18903 141154 2258070 1444039 1576754 144450 187334 3018826 144463 3509499 
2677824 555566 162830 162858 2677823 1734990 98253 90494 417917 1039811 ,2677824 555566 2677823 1734990 98253 417917 1039811 417909 379002 130903 
4916 203945 203963 173093 1257613 549114 344719 3677920 3303095 4832 ,203945 203963 173093 1257613 549114 344719 3677920 3303095 344709 1567343 
270697 136204 18886 270677 71464 18887 129933 136184 343054 118274 ,270697 136204 18886 270677 71464 18887 136184 343054 118274 4842 
3477580 3477573 2051354 648340 3477570 1637793 666898 4486359 3333302 982454 ,3477580 3477573 2051354 3477570 1637793 666898 4486359 3333302 2051356 3272658 
192638 192625 192560 192559 192685 192645 192682 192579 192681 192679 ,192638 192625 192560 192559 192685 192645 192682 192579 192681 192679 
4130347 3761864 29857 223391 223382 4130324 3081373 942575 3781618 4130332 ,4130347 3761864 29857 223391 223382 4130324 3081373 942575 3781618 4130332 
3298766 3298765 2470000 2659516 215090 296381 215050 577162 1756273 3232251 ,3298766 3298765 2470000 2659516 215090 296381 215050 1756273 3232251 818302 
3081337 3081333 3081341 3081335 3081342 3081374 3081334 3081346 3081345 297699 ,3081337 3081333 3081341 3081335 3081342 3081374 3081334 3081346 3081345 297699 
146000 2204738 1890857 146080 3567746 4770606 1474473 4295149 1474451 1474455 ,146000 146080 3567746 4770606 1474473 4295149 1474451 1474455 3567732 1474452 
537402 59777 59734 3405901 7271 2965927 778859 778893 3494666 2036154 ,59777 59734 2965927 778859 778893 3494666 2036154 1033350 3494667 3494668 
4704577 4376032 4376023 712725 842443 354388 4376025 2481648 2154057 4376031 ,4704577 4376032 4376023 842443 354388 4376025 2481648 4376031 956460 4704578 
682556 774900 296932 370303 982440 1437926 312741 2796271 3421015 1605829 ,682556 296932 982440 1437926 312741 2796271 3421015 1605829 1957810 1019771 
238065 2763901 180684 968318 821811 836037 1951478 888629 84812 238064 ,238065 2763901 180684 968318 821811 836037 1951478 888629 84812 238064 
