L,Cmps,QPS,Recall
1700,26.00,27880.81,99.25
1400,26.00,71572.12,99.25
1100,26.00,103496.10,99.25
1000,26.00,126241.51,99.25
900,26.00,126607.52,99.25
800,26.00,128118.48,99.25
700,26.00,131079.12,99.25
600,26.00,131111.69,99.25
500,26.00,136174.02,99.25
400,26.00,136267.62,99.25
300,26.00,138722.23,99.25
250,26.00,136597.09,99.25
200,26.00,134875.50,99.25
180,25.00,146472.61,99.25
160,25.00,140135.41,99.25
140,25.00,150877.92,99.25
120,25.00,150265.78,99.25
100,25.00,152028.25,99.25
90,25.00,152665.34,99.25
80,25.00,148088.47,99.25
70,25.00,154644.83,99.25
60,24.00,147425.98,99.25
55,24.00,155550.39,99.25
50,24.00,147009.86,99.25
45,24.00,152278.27,99.25
40,24.00,154790.73,99.25
35,24.00,150420.61,99.25
30,24.00,157093.52,99.25
25,24.00,146798.36,99.25
20,24.00,157205.89,99.25
15,24.00,101614.76,99.25
10,24.00,160734.50,99.25
