L,Cmps,QPS,Recall
1700,91127.00,7.87,38.30
1400,89740.00,8.01,38.40
1100,86456.00,8.02,36.00
1000,85826.00,7.99,36.50
900,84983.00,7.95,35.05
800,84226.00,7.97,33.75
700,83172.00,7.96,33.85
600,82431.00,8.04,34.05
500,81519.00,8.08,33.20
400,80418.00,8.16,31.85
300,79735.00,8.07,32.05
250,79604.00,8.08,32.05
200,78436.00,8.17,30.90
180,78296.00,8.15,30.85
160,78124.00,8.22,31.30
140,77729.00,8.22,29.80
120,77369.00,8.19,28.75
100,77158.00,8.13,29.70
90,76967.00,8.25,29.50
80,76896.00,8.36,28.90
70,76697.00,8.27,29.05
60,75782.00,8.26,27.80
55,75668.00,8.19,28.40
50,75537.00,8.22,27.30
45,75455.00,8.28,27.75
40,75332.00,8.17,27.05
35,75196.00,8.23,27.20
30,74965.00,8.37,26.80
25,74694.00,8.37,26.90
20,74254.00,8.38,26.80
15,73979.00,8.53,26.70
10,71591.00,8.62,26.65
