GT,Result
437355 265633 265586 437354 1273897 4934652 265494 265596 3557526 265529 ,3320657 280440 3193119 3969199 4082179 1009522 2710649 280443 3131828 3098973 
3522032 1820636 2389105 411431 4444472 4497812 3569412 1507926 1685943 2241459 ,834431 3240299 2043701 1255363 756861 1493375 2668090 4560814 2933623 869132 
3576076 1198192 86757 4500897 2053864 10000 4375526 463959 668478 1373705 ,1476806 1476802 3526578 1476817 952141 1476801 4286564 1476869 1476834 1556055 
1373767 1373771 1373773 1373787 1373779 1373769 1373760 1373776 668476 4764178 ,841769 580913 2938695 316158 2938702 316178 244842 125242 3371673 3822845 
4047499 4047500 1921308 1619928 2526430 1619960 3594318 144402 1619964 2517626 ,4165822 200451 3672568 2203229 4486953 1739766 1179158 2203219 200463 681042 
4520740 310491 3213184 1446898 2937822 1782446 1352364 1446900 1819250 1446918 ,4520740 2937822 626186 124485 3673823 3408044 1053383 2216249 3741526 2134579 
182293 3388358 2944929 3266646 3266624 95403 3576560 589828 1240495 3648856 ,182293 3388358 3266624 3576560 589828 3648856 3388337 182292 1380000 2944930 
369396 1418505 2579932 3346226 2496933 1265155 1265156 2800817 2547951 434558 ,2232814 1304087 425193 2252319 1677369 2759270 1763015 396378 1627420 741087 
4947198 4947199 4947197 2080109 3203554 2788886 2788883 4195336 2788909 2754883 ,4947198 4947199 4947197 2080109 4947194 1660214 2918799 822406 4195331 4977159 
3180262 1608795 232271 1812175 1608793 838022 2574614 2982420 4339282 252397 ,934645 4826058 3083752 2542073 3756339 2942989 367944 2337890 400346 2755172 
3922101 1064208 751590 4020130 794214 751589 4071829 3272294 2626933 1193492 ,276877 237894 873716 4550602 519751 2515472 3052558 237942 873715 237979 
614555 614473 1568729 1072475 1072510 3173541 2624836 614564 614558 1072476 ,614555 614473 614564 614558 614472 614500 614504 614556 614470 614535 
959568 959570 3545180 4456925 4761825 1406643 3840881 3270825 959578 959583 ,4456925 3840881 390083 3311731 390081 390117 4021522 2001930 390084 4639335 
2485095 2485079 1539581 2485091 2485097 330817 2485101 4873885 2485076 3624 ,1975867 852218 89021 1975864 89029 954362 76692 181650 89030 735435 
