GT,Result
613700 447747 233390 542239 706289 350839 795607 240684 511837 727869 ,613700 447747 233390 706289 350839 795607 240684 727869 233053 165789 
978316 723636 811669 63376 535163 535164 476575 198613 69613 413638 ,978316 723636 811669 63376 535163 535164 476575 69613 413638 651800 
840108 244368 347118 453480 551427 288210 290167 407769 730311 811062 ,840108 244368 347118 453480 551427 288210 290167 407769 730311 811062 
442229 686010 538042 242664 132929 187125 649718 952474 144617 430850 ,442229 686010 538042 242664 132929 187125 649718 952474 144617 430850 
100625 492994 516501 620636 83022 545749 137596 278746 278747 719040 ,100625 492994 516501 620636 545749 137596 278746 278747 719040 414176 
400963 615403 356592 356593 815832 949165 710797 935158 303056 439312 ,400963 615403 356592 356593 949165 710797 935158 303056 439312 876466 
245293 996387 441834 562478 862861 609703 769316 943336 13235 195523 ,245293 996387 441834 862861 609703 769316 943336 13235 195523 143004 
349078 5188 830570 592268 592269 905285 68986 73871 447285 83022 ,349078 5188 830570 905285 68986 73871 447285 414176 278746 278747 
839262 851814 83099 589076 780703 766896 410031 799593 909202 848972 ,839262 851814 83099 589076 780703 766896 410031 799593 909202 848972 
479642 868574 106950 98265 350450 808994 905648 510671 946496 568344 ,479642 868574 106950 98265 350450 808994 510671 946496 701803 77516 
696442 688832 868574 160206 106950 539617 701803 696181 350450 173324 ,696442 868574 160206 106950 539617 701803 696181 350450 173324 660446 
284961 208788 521581 521582 668393 226360 519731 519732 319006 219987 ,284961 208788 521581 521582 668393 226360 519731 519732 319006 219987 
745319 745320 193326 817375 330874 499042 237456 459403 742980 761937 ,745319 745320 193326 817375 330874 499042 237456 459403 742980 761937 
52756 228295 846129 104806 582253 304485 67553 633241 831289 595352 ,52756 228295 846129 104806 582253 304485 67553 633241 831289 595352 
666357 777763 779397 496792 496793 323594 488263 766095 965324 631408 ,666357 777763 779397 496792 496793 323594 488263 766095 965324 631408 
383726 610494 641856 176381 197657 721251 599452 65871 945022 941615 ,383726 610494 641856 176381 197657 721251 599452 65871 945022 941615 
923258 854081 716011 356804 766239 873670 75063 122532 372038 20556 ,923258 854081 716011 356804 766239 873670 122532 372038 229344 374691 
358642 616840 492521 999925 730035 656932 243704 749424 966301 380076 ,358642 616840 492521 999925 730035 656932 243704 966301 380076 380077 
472844 984213 371319 678951 678952 59711 952101 624295 612752 762355 ,472844 984213 371319 678951 678952 59711 624295 762355 267614 673094 
897353 28124 593883 480618 536934 957900 957901 291118 604254 921605 ,897353 28124 593883 480618 536934 957900 957901 291118 604254 921605 
754619 92825 865640 809819 80486 544986 388240 517991 254057 273796 ,754619 92825 865640 809819 80486 544986 388240 517991 254057 273796 
507861 989129 937992 34863 34864 305608 524930 441772 265989 767541 ,507861 989129 34863 34864 305608 524930 441772 265989 767541 554857 
887217 269779 402477 964722 964723 627866 379708 309537 289879 374981 ,887217 269779 402477 964722 964723 627866 379708 309537 289879 374981 
102346 718373 369769 957858 989129 404055 166948 597481 697366 351716 ,102346 718373 957858 989129 404055 166948 597481 351716 351717 944279 
757073 378393 888035 721345 713790 759133 327139 325959 450125 396486 ,757073 378393 888035 721345 713790 759133 327139 325959 396486 366574 
516809 874211 99050 39225 39226 422760 64769 169315 365483 141258 ,516809 874211 99050 39225 39226 422760 64769 365483 141258 756499 
561396 819613 463578 211134 200039 667315 68758 373498 392483 444405 ,561396 819613 463578 211134 200039 667315 68758 373498 392483 444405 
603500 959953 461193 948662 289486 326983 64461 690000 566860 965796 ,603500 959953 461193 948662 289486 326983 64461 690000 566860 965796 
147642 925450 219459 149606 173705 801694 749099 256227 773789 702276 ,147642 925450 219459 149606 173705 749099 256227 773789 702276 473322 
807116 609369 550157 536172 642470 139462 255074 553011 741543 680023 ,807116 550157 642470 139462 255074 553011 741543 680023 377485 779874 
798061 590089 723110 443916 691636 219323 292055 445883 620378 328704 ,798061 590089 723110 443916 691636 219323 292055 445883 620378 328704 
887402 627873 556655 937144 727780 941707 685130 861708 676050 679979 ,887402 627873 556655 937144 727780 685130 861708 676050 679979 892921 
802217 460268 270806 960378 594853 558470 878226 636784 489164 347389 ,802217 460268 270806 594853 558470 878226 636784 489164 347389 391883 
26338 287952 814824 565340 641842 755985 603915 832086 963718 427888 ,26338 287952 814824 565340 641842 755985 603915 832086 963718 427888 
625697 846849 46271 784133 247233 52479 315843 178972 466789 470814 ,625697 846849 46271 784133 247233 52479 315843 178972 466789 470814 
256593 686853 471175 812895 974647 404771 257876 937707 84360 605968 ,256593 686853 471175 974647 404771 257876 937707 84360 605968 283811 
292676 154066 754160 432922 602980 329244 345133 627158 484648 126034 ,292676 154066 754160 432922 602980 329244 345133 627158 484648 126034 
721060 514712 909079 435952 19828 925885 51021 169025 435123 510489 ,721060 514712 909079 435952 19828 51021 169025 435123 510489 748480 
353700 595441 578768 802944 189674 834287 834288 726346 296817 3743 ,353700 595441 578768 802944 189674 834287 834288 296817 3743 622217 
580799 877107 108486 426156 751253 57752 38075 671964 165683 165684 ,580799 877107 426156 751253 57752 38075 671964 165683 165684 150029 
573776 573777 158640 755139 506750 852911 474484 272165 817326 66069 ,573776 573777 158640 506750 852911 474484 272165 66069 751400 272355 
736921 612795 612796 501801 998088 587507 686585 317172 610981 449649 ,736921 612795 612796 501801 998088 587507 686585 317172 610981 449649 
461447 368272 159522 615278 546286 731715 413819 829163 829164 888080 ,461447 368272 159522 615278 546286 731715 413819 829163 829164 888080 
183078 427163 909076 593197 770261 940998 697805 902786 733287 68985 ,183078 427163 909076 593197 770261 940998 697805 902786 733287 68985 
455448 73704 336929 501074 857145 650673 683854 860614 169884 899321 ,455448 73704 857145 683854 860614 169884 899321 445487 572954 520089 
