L,Cmps,QPS,Recall
1700,3581,1000,94.95
1400,2784,1265.82,94.75
1100,2305,1574.8,94.4
1000,2175,1709.4,94.3
900,2028,1869.16,94
800,1854,2061.86,93.85
700,1690,2272.73,93.8
600,1520,2597.4,93.65
500,1335,2985.07,93.3
400,1151,3508.77,92.8
300,951,4255.32,92.2
250,849,4761.9,92.1
200,740,5555.56,91.85
180,694,5882.35,91.7
160,643,6250,91.5
140,593,6896.55,91.45
120,545,7692.31,91.35
100,484,8333.33,90.65
90,453,9090.91,90.55
80,422,9523.81,90.45
70,387,10526.3,90.2
60,357,11764.7,90.15
55,337,11764.7,90.1
50,321,12500,90.05
45,299,13333.3,89.65
40,280,14285.7,89.4
35,258,15384.6,88.8
30,236,16666.7,88.7
25,213,18181.8,88.45
20,189,22222.2,88.05
15,163,25000,87.25
10,136,28571.4,86.45
