L,Cmps,QPS,Recall
1700,70,28571.4,99.5
1400,70,40000,99.5
1100,70,50000,99.5
1000,70,50000,99.5
900,70,66666.7,99.5
800,70,66666.7,99.5
700,70,66666.7,99.5
600,70,66666.7,99.5
500,70,66666.7,99.5
400,70,66666.7,99.5
300,70,66666.7,99.5
250,70,66666.7,99.5
200,70,66666.7,99.5
180,70,66666.7,99.5
160,70,66666.7,99.5
140,70,66666.7,99.5
120,70,66666.7,99.5
100,70,66666.7,99.5
90,70,66666.7,99.5
80,70,66666.7,99.5
70,70,100000,99.5
60,70,100000,99.5
55,69,100000,99.5
50,69,100000,99.5
45,69,100000,99.5
40,69,100000,99.5
35,68,100000,99.5
30,68,100000,99.5
25,67,200000,99.5
20,65,200000,99.5
15,63,200000,99.5
10,59,200000,99.4
