GT,Result
49060 505657 15801 584365 669622 309698 130132 824014 792708 593759 ,49060 15801 584365 669622 309698 792708 99323 980134 831381 938791 
612010 695803 505657 417866 417867 836613 9788 306816 863556 614741 ,612010 695803 505657 417866 417867 836613 9788 306816 863556 614741 
290356 349562 612010 166514 128489 128490 546985 110197 958792 563027 ,563027 614741 523477 836613 406859 251382 93956 283183 539345 827353 
709029 611811 450567 137256 510998 142132 393608 909135 203538 405579 ,709029 611811 450567 137256 510998 142132 393608 909135 203538 405579 
10629 923061 73829 461356 973456 695577 524442 437865 441445 355173 ,10629 923061 73829 461356 973456 695577 524442 437865 441445 355173 
349562 128489 128490 833881 898260 612010 110197 546985 290356 677339 ,349562 128489 128490 898260 612010 110197 546985 290356 677339 509765 
623125 623126 557730 147260 877296 882911 303143 263423 184338 348423 ,623125 623126 557730 147260 877296 882911 303143 263423 184338 348423 
468621 401085 481895 644293 644294 806738 289405 463954 914467 215051 ,468621 401085 481895 644293 644294 806738 289405 463954 914467 215051 
466779 609987 869728 62218 780109 192835 504244 199302 520256 771583 ,466779 609987 869728 62218 780109 192835 504244 199302 520256 771583 
87814 35842 561038 130749 642370 853223 161394 751128 816536 971638 ,87814 35842 561038 130749 642370 853223 161394 751128 816536 971638 
313186 757612 854114 208411 854550 622818 583639 826939 468560 468561 ,313186 757612 854114 208411 854550 622818 583639 826939 468560 468561 
720263 556827 75676 466145 856681 126090 291530 321066 198743 449638 ,720263 556827 75676 466145 856681 126090 291530 321066 198743 449638 
405061 222396 222397 115980 942168 389051 95017 446569 713278 429740 ,405061 222396 222397 115980 942168 389051 95017 446569 713278 429740 
466145 321066 353050 676589 117328 979518 571731 463506 216465 826753 ,466145 321066 353050 676589 117328 979518 571731 463506 216465 826753 
72475 140941 671526 206267 463506 341293 897428 39547 39548 225686 ,72475 140941 671526 206267 463506 341293 897428 39547 39548 225686 
993219 156567 441618 923372 63787 604232 561692 130349 130350 541343 ,993219 156567 441618 923372 63787 604232 561692 130349 130350 541343 
815744 815745 826753 794330 533303 915441 93881 876695 428309 130155 ,815744 815745 826753 794330 533303 915441 93881 876695 428309 130155 
562275 883262 7452 300025 735736 735737 315720 208162 198743 171829 ,562275 883262 7452 300025 735736 735737 315720 208162 198743 171829 
960504 960505 970872 925021 566344 922252 207305 821837 79005 797207 ,960504 960505 970872 925021 566344 922252 207305 821837 79005 797207 
819427 39531 512035 245791 580431 813890 192150 346453 586535 431840 ,819427 39531 512035 245791 580431 813890 192150 346453 586535 431840 
865443 852411 827697 125996 311103 441957 311625 552465 155999 1051 ,865443 852411 827697 125996 311103 441957 311625 552465 155999 1051 
51533 44929 886222 291623 158570 639888 257118 313602 99081 194318 ,51533 44929 886222 291623 158570 639888 257118 313602 99081 194318 
558227 863477 150376 928073 434789 365035 306540 153705 85927 828443 ,558227 863477 150376 928073 434789 365035 306540 153705 85927 828443 
63207 991935 659103 552821 190973 630115 824247 905708 359913 728538 ,63207 991935 659103 552821 190973 630115 824247 905708 359913 728538 
