GT,Result
283652 955897 200448 297114 823596 944850 141738 348445 870726 300589 ,283652 955897 200448 297114 823596 944850 141738 348445 870726 300589 
649685 878597 936772 956716 62881 553210 873862 873863 226765 619013 ,649685 878597 936772 956716 62881 553210 873862 873863 226765 619013 
519613 84977 343111 661025 995070 659274 659275 733081 223562 348166 ,519613 84977 733081 348166 160780 56166 964484 357856 841242 255425 
856768 35614 566581 205112 205113 835885 174033 291910 749276 36197 ,856768 174033 36197 104179 40272 542883 199783 574135 12692 179820 
793313 619072 782967 928975 928976 554887 502424 955408 955409 422105 ,793313 928975 928976 732696 700386 516083 413689 413690 609976 609977 
959668 20182 334976 347518 149120 798756 754068 248314 987943 941059 ,959668 20182 347518 149120 798756 941059 781676 58774 906411 643574 
620211 872338 105519 782162 469173 698726 279501 808660 576783 243240 ,279501 236186 443889 866257 605434 905655 459177 421922 327259 832681 
650967 510209 159174 345595 34700 952018 803311 702401 305818 898725 ,650967 345595 618894 530116 230895 117733 514559 514560 760855 776860 
197976 481476 115130 974059 705225 366738 253779 121562 503920 533054 ,481476 115130 366738 503920 685088 68583 93174 754476 132878 561095 
111268 263236 460522 210651 329789 994073 650206 461352 557644 458413 ,768670 188227 875791 728057 802690 686925 900085 268332 717179 346166 
262942 702463 362357 901766 602815 998802 998803 998804 228120 371242 ,901766 124708 385923 925924 365494 160995 445174 691453 43740 400260 
150587 90950 352791 790201 49409 782708 452472 338764 942456 112448 ,718876 718877 249497 335451 242221 13471 120180 913764 61206 416870 
324484 517466 252336 922793 403698 847800 847801 546817 750588 294308 ,324484 517466 252336 922793 403698 847800 847801 546817 750588 294308 
235625 836208 786439 191416 737932 915698 802959 113130 525199 542943 ,836208 525199 542943 277478 815299 951662 823206 823207 203012 261669 
278671 573723 477326 751430 14375 23133 292518 402463 972413 817821 ,278671 573723 477326 751430 14375 23133 292518 972413 795375 795376 
767842 832447 432177 442300 714672 952388 995807 995808 418629 129758 ,767842 952388 418629 129758 624924 175339 944782 991995 785661 52204 
248333 328675 15612 379094 887791 842411 671330 34319 835649 208792 ,328675 15612 887791 842411 208792 143977 277588 910152 614989 432771 
238095 651310 623401 27983 951152 507577 27164 950582 468034 698544 ,950582 241780 906070 617561 265629 528946 895013 334752 104966 364248 
239326 133964 133965 96086 507602 634648 798196 979290 314021 336809 ,133964 133965 96086 507602 580463 355175 198499 318020 695350 209142 
666539 98231 116588 696223 696224 835291 777259 264190 94146 893469 ,666539 98231 116588 696223 696224 835291 777259 264190 94146 893469 
650879 764664 797757 1750 946191 203344 396828 396829 779293 6108 ,764664 797757 946191 730161 991884 991885 504394 11179 924676 313984 
712031 265302 769396 123169 671484 858106 362950 153304 966969 421486 ,265302 858106 966969 694859 404411 919243 127002 137761 170258 170259 
543713 754017 976783 154875 978896 299141 781908 690133 231742 192311 ,781908 192311 269094 980765 747977 170839 145020 201560 702270 308577 
278845 478154 547639 979860 281645 713056 122814 795005 836422 790932 ,547639 281645 713056 456357 202116 892851 68278 68279 883262 267416 
849228 680719 670387 243168 587535 633965 201190 441614 646151 246342 ,670387 201190 441614 246342 529163 924219 209332 219297 512544 556360 
414486 296498 241997 523584 674395 903291 692796 61675 304230 59201 ,414486 523584 61675 304230 872828 222457 474728 504794 504795 504796 
852087 9215 48760 274813 274814 485771 13766 964993 964994 596250 ,9215 274813 274814 485771 172268 130252 369659 439525 135677 838876 
468708 468709 871343 991421 53427 733157 707795 92104 816529 816530 ,733157 658731 671859 584326 37610 694411 380207 463141 622716 150577 
278882 459326 636967 598000 214622 544090 504896 201865 507705 368314 ,214622 544090 386931 585697 23108 23109 757457 757458 435149 755046 
719084 78639 25120 722505 783736 25490 576342 315051 238361 46925 ,25120 368111 766766 190601 569675 610013 54555 565922 262866 471923 
8858 648747 974645 534819 534820 470808 173225 852870 37291 567741 ,37291 138440 136332 401451 499967 257100 92619 269741 325124 839106 
893820 954377 772468 936662 546617 761020 119060 793883 9548 34355 ,954377 772468 936662 137490 111359 586310 975196 232680 865977 89585 
401239 821450 258025 299241 776485 273830 250025 735476 42866 159854 ,401239 821450 20665 735476 159854 510572 248419 710379 424257 192891 
395126 7718 924423 941711 503688 343715 520308 468387 50748 186246 ,150678 100345 826402 327488 307372 534340 997822 472435 160656 811416 
994115 994116 42281 612306 579563 945710 71150 222475 202246 779275 ,42281 576357 958271 675698 596345 801487 939387 163085 622845 750572 
187677 511972 818287 818288 405378 979247 727518 119106 334203 80917 ,405378 727518 212832 911606 587039 477812 590727 590729 219383 156960 
974089 277001 457173 291736 82734 892549 697020 469141 122837 787306 ,457173 892549 964199 134827 971339 685983 858220 719732 973672 678895 
894231 559726 849129 108829 983794 732535 732536 951199 384193 317912 ,894231 559726 849129 983794 732535 732536 951199 456047 231194 231195 
693604 619094 49900 546284 229200 624759 992203 269383 269384 29206 ,693604 619094 49900 546284 229200 624759 992203 269383 269384 29206 
240332 84907 373747 386281 313415 650327 265108 236469 485254 873980 ,240332 313415 265108 485254 626868 697883 799237 454598 861445 252032 
999108 340765 661198 574937 925005 990242 47664 811016 526188 479639 ,340765 661198 925005 990242 47664 824361 291189 334643 196461 948058 
755021 755022 613654 623019 597399 399277 869609 125202 678220 559583 ,125202 678220 551533 27298 95225 164528 946341 523773 429192 744894 
806102 935860 825021 482368 279713 913703 943647 200906 745096 612875 ,935860 825021 482368 612875 612876 185069 353118 261194 269572 269573 
219047 821195 904084 855313 855314 365084 365262 31328 681342 861831 ,904084 365084 681342 377319 749413 777150 719425 360883 720376 375088 
655597 707972 598264 329775 197508 342666 494622 153779 922496 922497 ,197508 838677 355958 329190 937232 440775 51854 51855 51856 314010 
949462 315984 577864 151772 693443 142237 121431 388796 38536 179102 ,568152 568153 99591 569675 214798 470003 19844 363143 386055 128833 
31039 987012 137606 525945 197263 668922 323459 752649 77972 337379 ,987012 137606 430824 358376 326268 326269 852056 411498 588169 978403 
112059 112060 482176 990804 438841 940822 940823 858383 387036 9762 ,990804 940822 940823 350761 96729 747767 783077 6217 695893 181632 
772669 943094 582113 533955 354873 794414 255284 9576 416835 266658 ,772669 354873 794414 9576 633882 275553 436180 854412 947535 43907 
207590 45783 278762 278763 850193 64796 558529 496622 836474 825545 ,207590 45783 278762 278763 850193 64796 558529 496622 836474 825545 
749484 78871 472357 471531 998915 250623 629270 629271 508435 771369 ,749484 78871 472357 471531 998915 629270 629271 250623 508435 771369 
707457 130150 973203 444584 793033 883172 442053 105025 234225 179192 ,243503 756700 111800 534983 597981 83463 465373 949476 671066 166868 
387007 170250 812588 178004 958101 73871 830570 530528 164317 956912 ,812588 958101 668044 236331 252116 590408 587347 912204 226603 730345 
334362 876251 876252 580777 103467 665337 394285 394286 549048 499468 ,665337 394285 394286 810354 598003 163679 495848 551014 215568 797046 
559288 167184 905209 163817 887221 10806 8661 22115 455578 539952 ,167184 905209 708581 419706 519486 245707 224277 300629 698965 906609 
897324 862477 691773 927618 927619 229075 122433 642540 245607 281153 ,281153 537978 255303 723771 231082 859770 406132 690424 71668 74652 
779559 525883 223382 104452 565916 392400 961983 598579 918548 942826 ,779559 845294 898306 944010 431230 726843 647804 363924 269441 264386 
561352 792304 100592 48831 836456 245843 627662 510059 796084 631397 ,100592 245843 627662 457396 924817 917915 589503 93237 896399 33756 
271406 558244 6932 800764 818947 844058 659615 58402 914175 880808 ,271406 558244 6932 800764 818947 844058 58402 914175 880808 212097 
406064 4052 202125 209098 277204 600369 914937 595098 938846 47287 ,406064 4052 202125 209098 277204 600369 914937 595098 938846 47287 
1831 382485 382486 787645 787646 672777 652420 951764 308058 2829 ,1831 79284 570700 778080 280933 289633 830131 516205 508152 602776 
239539 153230 399861 266167 245311 428343 728403 90169 138249 116191 ,428343 90169 138249 888622 13287 461589 187181 403168 410659 379827 
526360 680224 745437 494249 128518 92566 865107 635533 445764 180893 ,128518 445764 180893 941439 239956 85189 287185 287186 298979 19627 
618943 707051 69521 927210 366602 264459 216397 538587 974445 899736 ,618943 707051 69521 927210 366602 264459 216397 538587 974445 899736 
804814 804815 396214 9439 978230 123793 173089 114210 806194 977 ,804814 804815 173089 806194 636186 900625 894186 684184 950172 745770 
744981 871134 798148 494086 566134 566135 520134 373157 201319 407766 ,408209 746380 646684 718984 305046 252020 745991 589478 918349 574607 
451082 704853 671935 43906 689701 313105 463578 307800 578160 573018 ,451082 573018 188243 241399 381829 157248 12952 182558 427781 975385 
555194 109519 464376 204341 948202 950463 353781 137935 180562 357538 ,337071 404789 912340 912341 567216 678990 811141 511650 196754 767969 
60467 367398 600546 528888 542290 864110 903971 206556 593071 835369 ,367398 600546 519955 5410 35472 959805 366700 31426 971102 318120 
868194 729134 334063 745861 198466 190993 444794 977990 768886 35297 ,443643 800467 322389 2961 774768 192984 204343 491036 210287 817563 
366150 366151 125961 350887 626919 298107 603963 255672 113167 575960 ,366150 366151 255672 113167 801672 801673 816246 549168 549169 460326 
487380 725649 299606 54021 77800 754099 135708 965264 115056 65073 ,487380 54021 115056 65073 262671 555982 763910 354741 552966 875988 
330136 827191 827192 943753 939976 613284 567593 231497 326955 42253 ,330136 827191 827192 943753 939976 613284 567593 231497 326955 42253 
839262 466603 264837 175883 819465 613686 782093 831211 44052 676252 ,819465 831211 839982 999753 571463 382249 600864 763725 705007 282853 
291180 291181 892526 569594 391161 576744 489059 624227 414344 682945 ,391161 624227 350117 563728 779395 707854 770625 176532 108582 959394 
240090 115604 898142 562491 593048 593049 406203 334998 746110 761679 ,240090 115604 898142 595603 667439 831260 55414 82305 489324 54983 
246247 246248 343195 903113 987191 226170 154864 856570 5417 477684 ,226170 5417 440339 887723 543507 90657 438554 438555 462777 131648 
965597 621016 233033 365857 931656 931657 558557 627458 14189 111888 ,14189 111888 282699 901152 33264 910641 640162 174074 314645 11759 
118569 986710 456805 883762 435148 929150 520643 261779 756591 451878 ,456805 883762 72175 529183 881411 968790 103217 103218 431214 825366 
641161 207219 305685 51591 306186 912506 202526 959980 262782 964291 ,891345 39567 617417 193428 384238 820050 758608 445387 7660 423347 
380312 919345 749824 410921 34730 433825 978325 975556 481203 757384 ,380312 919345 749824 410921 34730 433825 978325 975556 481203 757384 
874344 628032 725379 249505 625775 544677 469101 39545 713520 106336 ,207084 675533 100885 86196 86197 357204 889834 500639 982093 641812 
92448 950560 643458 241913 780816 353119 347750 193908 391700 170495 ,476964 53585 53586 45791 209082 162155 422460 253348 836299 872177 
813323 287802 272602 86602 86603 210118 590507 962645 200020 105190 ,287802 272602 408263 207270 358430 199296 428053 249656 396592 17570 
990672 414810 149056 839755 782383 385526 61465 770508 770509 496160 ,414810 839755 25923 287792 990778 762880 192619 680990 865940 830033 
277702 845675 813131 243176 165654 555901 226421 979473 409481 79347 ,345924 274911 364865 546517 29467 917849 697260 44597 132763 58371 
247356 888844 571829 533340 791223 613917 437062 771555 469804 638582 ,247356 888844 571829 533340 791223 613917 437062 771555 469804 638582 
147642 198890 824180 696924 726024 93753 90507 976046 925450 649028 ,696924 93753 649028 534118 614595 265302 440382 777423 218388 940238 
