L,Cmps,QPS,Recall
1700,94062,2.08685,56.25
1400,84588,2.10555,54.85
1100,74691,2.12143,52.3
1000,71088,2.13393,51.7
900,67308,2.13908,51.2
800,63353,2.1501,50.5
700,59090,2.1552,50.15
600,54454,2.16443,49.1
500,49429,2.17753,47.8
400,43872,2.17955,46.55
300,37712,2.18885,44.65
250,34226,2.19676,44
200,30381,2.20323,42.45
180,28772,2.20733,41.95
160,27093,2.20643,40.85
140,25267,2.21102,40.15
120,23307,2.21779,39.1
100,21212,2.22252,38.25
90,20121,2.22797,37.25
80,18982,2.22202,36.95
70,17769,2.21995,36.05
60,16489,2.22474,35.25
55,15828,2.22375,34.7
50,15171,2.22437,34.5
45,14419,2.22119,34
40,13707,2.2246,33.7
35,12979,2.23038,32.55
30,12166,2.23082,32.4
25,11379,2.22254,31.1
20,10573,2.22993,30.05
15,9661,2.22792,29.1
10,8718,2.23411,27.5
