GT,Result
1880477 1177442 3068994 4745088 1731052 4151854 830172 3818620 4189374 3147426 ,1880477 1177442 3068994 4745088 1731052 4151854 830172 3818620 4189374 3147426 
783638 1221933 1689271 4044860 559147 1508004 2554951 3904918 1033490 1669845 ,1221933 1689271 4044860 1508004 2554951 3904918 1033490 1669845 635182 3804408 
289413 4958490 156222 2735513 4834428 144864 268712 194825 2196892 1168460 ,289413 4958490 156222 2735513 4834428 144864 268712 194825 2196892 1168460 
2041687 4478824 4384824 4439221 1257038 3101366 2773819 4246211 3950818 2657312 ,2041687 4478824 4384824 4439221 3101366 2773819 3950818 3053422 1951925 1130350 
3360336 1457940 2137801 4414855 624264 3679706 3410694 1166641 1017924 4604513 ,3360336 1457940 2137801 4414855 624264 3679706 3410694 1166641 1017924 4604513 
1766702 1349767 3592917 3469408 1217799 900522 3472849 4855933 4860482 1666074 ,1766702 1349767 3592917 3469408 1217799 900522 3472849 4855933 4860482 1666074 
3383389 4841301 2612933 2660116 3226790 1533443 4565259 2361751 2402328 3050069 ,3383389 4841301 2660116 3226790 1533443 4565259 2361751 2402328 3050069 2385558 
4440543 3101449 1549859 3392051 994946 2962605 1727751 4395266 3732474 1660150 ,4440543 3101449 3392051 994946 2962605 1727751 3732474 1660150 2445647 3758505 
1616792 3374955 3637510 4592027 626010 1756753 420319 999830 3030110 3231825 ,1616792 3374955 3637510 4592027 626010 1756753 420319 999830 3030110 3231825 
4359101 2442445 2833021 3618087 2898974 3164247 1727600 1460622 2089032 2102461 ,4359101 2442445 2833021 3618087 2898974 3164247 1727600 1460622 2089032 2102461 
4750696 1594921 1528327 1542893 343713 2319088 1736410 467962 3841974 3273300 ,4750696 1594921 1528327 1542893 2319088 1736410 467962 3841974 3273300 3952854 
2271284 2204752 1458167 3698410 1966075 4436676 631799 510059 3894352 1426522 ,2271284 2204752 1458167 3698410 1966075 4436676 631799 510059 3894352 1426522 
1106925 3287659 4676047 2636611 4737440 2258478 3544605 2811144 2508061 3015987 ,1106925 3287659 4676047 2636611 4737440 2258478 3544605 2811144 2508061 805610 
698703 22518 185018 2753425 145165 278333 224200 241139 2278686 237032 ,698703 22518 185018 2753425 145165 278333 224200 241139 2278686 237032 
44759 78315 89291 118780 205162 222365 245690 273604 344652 354636 ,344652 354636 472626 571520 648450 1112819 1164501 1182376 1410522 1497938 
2692139 1125895 2576356 507626 4769184 2208896 3641531 2500955 1008548 4730909 ,2692139 1125895 2576356 507626 4769184 2208896 3641531 2500955 4730909 2984213 
404318 2777918 666884 4151205 1811386 3671161 1699343 4653119 4070695 4475998 ,404318 666884 4151205 1811386 3671161 1699343 4070695 4475998 565135 3109053 
3700614 4987986 2901671 4252279 4958267 2231664 3599740 2131339 1655649 1611724 ,3700614 4987986 2901671 4252279 4958267 2231664 3599740 1655649 1611724 4478678 
1052060 843067 614478 1016353 4558624 3383612 1923942 4630502 3128235 4172996 ,1052060 1016353 1923942 4630502 2475167 454110 1160636 4724590 4478585 505951 
4922258 3478103 3046404 697077 1662870 2160058 3827742 2939378 3792655 3448567 ,4922258 3478103 3046404 697077 1662870 2160058 2939378 3304378 3475442 3472881 
2043866 3774916 1175309 1717504 415579 2184104 4566707 466505 3916668 2423253 ,2043866 3774916 1175309 1717504 415579 2184104 466505 3916668 2423253 3997506 
1924051 1568808 4678161 1157317 376717 4929652 1802844 1549196 1736209 4545617 ,1568808 4678161 376717 4929652 1549196 1736209 4545617 3167872 1152366 3607897 
3223259 2500958 25141 191556 303505 4073235 204988 270450 63571 320881 ,3223259 2500958 25141 191556 303505 4073235 204988 270450 63571 320881 
716640 3961766 2209856 630556 4230905 658461 606256 4222695 1126046 545788 ,716640 3961766 2209856 630556 4230905 658461 606256 4222695 1126046 545788 
3057872 2762566 3358221 1389602 4586638 2704737 1673521 1705971 4143237 895284 ,3057872 2762566 3358221 4586638 1673521 4143237 895284 4239360 1714661 385960 
