L,Cmps,QPS,Recall
1700,364,7692.31,99.95
1400,364,9090.91,99.95
1100,364,9090.91,99.95
1000,364,9523.81,99.95
900,364,9523.81,99.95
800,364,9523.81,99.95
700,364,9523.81,99.95
600,364,9523.81,99.95
500,363,9523.81,99.95
400,361,10000,99.95
300,356,11111.1,99.9
250,351,11764.7,99.9
200,344,12500,99.9
180,340,13333.3,99.9
160,336,14285.7,99.9
140,329,15384.6,99.9
120,322,16666.7,99.9
100,312,18181.8,99.9
90,306,20000,99.9
80,299,20000,99.9
70,290,22222.2,99.9
60,281,25000,99.9
55,274,25000,99.9
50,268,25000,99.9
45,260,18181.8,99.85
40,252,28571.4,99.7
35,242,33333.3,99.7
30,232,33333.3,99.6
25,219,40000,99.5
20,203,40000,99.45
15,183,50000,98.8
10,156,50000,97.9
