GT,Result
3494344 3215246 761969 855768 1583402 2415476 1895738 4424016 1225791 4106994 ,3494344 3215246 761969 855768 2415476 1895738 4424016 1225791 4106994 3851379 
630752 3668151 3093581 3502055 1613466 3241803 4823992 1898432 2593011 4124120 ,630752 3668151 3093581 1613466 3241803 4823992 1898432 2593011 4124120 3355455 
379670 3411694 1665813 2547415 3458641 2611787 2538956 1293227 896883 3259921 ,379670 3411694 1665813 3458641 2611787 2538956 1293227 896883 3259921 1205363 
4175293 4975258 1902257 4546230 3776757 2142181 4904825 3092819 4298521 4463877 ,4175293 4975258 1902257 4546230 3776757 2142181 4904825 3092819 4298521 4463877 
576798 2376173 4393677 3637935 3865856 1612109 1094937 4014281 3640951 4560281 ,576798 2376173 4393677 3637935 3865856 1612109 1094937 4014281 3640951 4560281 
1382762 634793 3002470 4761765 1437251 1321955 4426780 1855651 3232710 564193 ,1382762 3002470 4761765 4426780 703929 4650573 2037670 3355744 3639297 3861902 
3328149 2477834 3017186 3598411 2821913 3332110 1809234 2331891 624605 4238273 ,3328149 2477834 3017186 3598411 2821913 3332110 1809234 2331891 624605 4238273 
2047791 1002787 3324797 3287507 4317433 421685 2453844 3890012 2807442 1657547 ,2047791 1002787 3324797 3287507 4317433 421685 2453844 3890012 2807442 1657547 
4858737 439805 3568312 1036736 2102949 1559229 4463946 649612 4513961 88960 ,4858737 439805 3568312 1036736 2102949 1559229 4463946 649612 88960 3883932 
3936297 3940525 1928510 3175261 1689456 4192288 4273933 3122229 3432216 2779746 ,3936297 3940525 1928510 3175261 1689456 4192288 4273933 3122229 3432216 2779746 
3016996 3111493 1419452 3430537 3495708 1718786 3768133 2330192 4477344 2776302 ,3016996 3111493 1419452 3430537 3495708 1718786 3768133 2330192 4477344 2776302 
100714 138820 378377 382261 394474 397089 410331 412395 416837 419249 ,100714 138820 378377 382261 394474 397089 410331 412395 416837 419249 
869309 1488751 2370990 3800927 1536865 586872 3084409 2578714 2907036 1514112 ,869309 1488751 2370990 3800927 1536865 586872 3084409 2578714 2907036 1514112 
515209 2636577 2699176 1225444 2815616 4641741 4935792 768416 666486 3725018 ,515209 2636577 2699176 1225444 2815616 4641741 4935792 768416 666486 3725018 
4711969 2176686 1010084 3992155 869997 3891479 761337 3317243 4063519 4593546 ,4711969 2176686 1010084 3992155 869997 3891479 761337 3317243 4063519 4593546 
4393514 4131977 4444315 4921033 1338581 920925 4119720 2056984 2849583 947671 ,4393514 4131977 4921033 1338581 4119720 2056984 2849583 947671 2265437 3836092 
3042320 1536827 2007041 773890 3637533 4744604 816719 824648 2607473 2051302 ,3042320 1536827 2007041 773890 3637533 4744604 816719 824648 2607473 2051302 
843500 2389144 4165837 4566365 3045438 4566587 1605112 2511005 2223194 460138 ,843500 2389144 4165837 4566365 3045438 4566587 1605112 2511005 2223194 460138 
4207341 584794 4170884 1733950 3713807 3025431 4569377 3419798 4027153 2811197 ,4207341 584794 4170884 1733950 3713807 3025431 4569377 3419798 4027153 2811197 
1720173 1437099 515033 1492125 2467408 924947 1206193 4435557 1034751 4745013 ,1720173 1437099 515033 1492125 2467408 924947 1206193 4435557 1034751 4745013 
2214620 540820 4944915 2088508 2192112 4902164 4078270 1793158 2377965 3267930 ,2214620 540820 2088508 2192112 4902164 4078270 1793158 3267930 2308788 2068708 
