L,Cmps,QPS,Recall
1700,28881,164.069,80.55
1400,25955,192.493,78.7
1100,22592,230.415,76.9
1000,21298,250.313,76
900,20045,272.48,75.4
800,18605,299.85,74.65
700,17109,332.226,73.3
600,15457,374.532,71.95
500,13792,430.108,70.3
400,11823,516.796,67.4
300,9635,634.921,64.3
250,8430,724.638,61.65
200,7240,847.458,60.3
180,6694,909.091,58.45
160,6157,975.61,57.1
140,5622,1058.2,55.1
120,5053,1156.07,53.75
100,4426,1298.7,51.15
90,4097,1388.89,48.8
80,3766,1459.85,47.55
70,3417,1538.46,45.55
60,3046,1680.67,42.75
55,2870,1769.91,42.35
50,2702,1851.85,41.55
45,2504,1941.75,40.2
40,2317,2040.82,40.35
35,2103,2173.91,38.4
30,1884,2325.58,36.05
25,1679,2439.02,34.25
20,1449,2631.58,31.15
15,1210,2857.14,27.95
10,955,3174.6,24.6
