GT,Result
3914410 1030801 3715661 3238326 4959807 760716 1721304 886634 3435410 1960655 ,3914410 3715661 3238326 4959807 886634 3435410 2983401 4314660 1170283 1686951 
4694961 511336 1957590 3445573 3749937 3327800 3757862 3317848 993951 1129577 ,2604726 4212337 2897032 1365864 1770564 2539958 1665677 2596219 2611838 599128 
939760 2451345 1786122 4846698 1966136 4816669 3530333 3930298 2515617 4842190 ,3033585 4726409 2004169 1988414 914592 378273 3467920 4304255 2613941 2588699 
4149312 1521313 1309862 3490868 3704316 2832307 2115599 3522582 1916782 3365586 ,4149312 1521313 1309862 2832307 3522582 1916782 3365586 2507430 1434626 1549047 
2759121 2271793 863003 2667880 4039574 2241190 2231599 4780822 3152246 2350358 ,3675517 4287692 436357 1363595 2002768 905962 3452239 2014386 904827 3673490 
4298915 1206263 3257239 596964 381695 3290627 4297795 1766737 1778689 3593485 ,1206263 2594575 1356517 2001324 3668854 1309064 378439 4288184 3663516 2600968 
1045164 4650561 4960351 4548254 4505225 4463180 1894947 2151248 1768589 2346393 ,1045164 4548254 4505225 1894947 2151248 1768589 2346393 980272 3470675 1364331 
77388 100192 3512765 2858 48085 561528 103596 122420 239778 298884 ,103596 194649 347070 324169 4185522 255461 319226 2319611 371960 227310 
2420564 2258113 3858530 4332221 1629914 4440635 4121313 4392179 1905765 1959085 ,3691508 3690765 3681872 1285518 388753 1344576 1058535 1279099 2016095 906053 
2299854 1091014 692461 3986277 3126013 608301 4326092 910717 2298888 1812186 ,4326092 910717 1812186 1531192 4455078 2584803 1543500 3651191 1478133 2015052 
545404 3511440 456564 3968279 620969 90032 3541122 4202779 604394 1585622 ,456564 1880135 4660142 4144275 1438358 1781773 4177340 1284371 4077565 3666378 
1229534 4803456 1577124 3131255 1106717 4072290 1147378 3859057 3160013 2375690 ,1577124 3131255 4072290 1636846 1946768 917488 4385211 2862822 180178 157868 
2302663 1435449 3881481 3136460 4790997 3226061 2030485 124208 1029627 3168798 ,3190912 13655 507635 2585910 1162227 4137105 362191 1381510 4326458 3917867 
2713033 4813620 1404065 4731862 3216387 2222530 2607977 1577631 3297364 1341603 ,3583380 1211718 1760690 3064146 4211505 1070203 4504723 1674515 4294534 438097 
726722 2935237 322980 3576086 48541 311267 976306 193176 2228742 4761377 ,1336659 2586779 1338980 429666 2598596 2013028 1772024 392158 3687360 3460141 
2856964 3354374 1888553 4143416 3287958 3932463 4380180 4399095 1150848 3321748 ,1274284 4389145 2462399 4470370 4138980 2759857 3867498 3275929 1459062 2695611 
2028462 2044878 2009224 1874615 1056554 114451 1588288 3271736 703610 2218075 ,389434 1672968 3449621 2605845 1359017 3682839 602823 1304385 384821 3415446 
932344 1923341 2047479 3463486 4691046 385657 2182693 1046990 549414 1122331 ,4815666 4997761 780199 4197103 2281896 2991310 4830149 4425739 2394220 1209139 
4884079 3896141 3882909 4494171 179509 303057 207852 1746984 1354016 98511 ,3896141 98511 3913334 206560 2865393 1601101 2479333 3858554 369268 4976213 
4908573 4388751 2428741 2070717 4090185 1828955 4797355 4316297 858634 4678134 ,3407192 2225560 3439521 4137794 1859557 882023 3112621 3252206 1471983 3466484 
268094 1996019 3969212 2816902 621711 2694423 3804979 2481366 3296810 4880645 ,3969212 3296810 3012394 927666 395530 976012 4959270 245028 53092 1649755 
504741 3437926 1215114 1036046 3126933 155775 1486934 1477172 4970981 4594962 ,3437926 1036046 3126933 155775 979856 3120494 126654 3601618 4434676 2344793 
570917 4846323 941248 4609442 2239297 2718069 4484247 1929797 707931 3135838 ,2239297 1989361 1281328 908594 3660948 440612 908586 3442198 3275542 437965 
47157 896771 3297931 1681070 3302503 2001700 2018433 4846582 3267046 3072037 ,1203499 597580 2899188 2600814 4221363 1069480 3665291 1675326 4495673 1996276 
854243 3836778 2173119 3933058 4022648 314706 3635211 598241 2529056 4907514 ,854243 3933058 1833128 243608 2229663 2440713 212331 2008689 1575701 4012440 
680604 2935934 656534 621268 1112777 3081671 1625247 1165221 3772073 2251856 ,2935934 1112777 1165221 1753594 3244669 3533122 2639900 4913576 3998927 2447999 
2037041 2566362 3457355 3095789 2199907 3861883 99067 3536407 4161711 3864346 ,3457355 3095789 99067 4161711 3119631 154258 1646135 4241265 4171628 2941363 
2097488 1333500 1552727 2689099 4012585 3024000 2491354 3260364 2896573 3200949 ,4012585 3200949 1458996 3183987 2929061 2038788 2412252 2852020 4724880 1748137 
2501145 3875131 1231895 4689834 1950513 2389938 3192167 2105372 1977663 845565 ,3875131 1950513 2389938 3192167 845565 1829698 4748468 2322737 3557286 3546530 
2244550 1795447 689987 2124074 2563367 395665 1963489 1401182 3885244 848066 ,701423 4768613 1554717 4840505 4353968 2357551 1931034 2055896 4778188 1270649 
434809 3591722 2904529 1332603 899748 387680 609370 1242200 1364178 1282151 ,2904529 1332603 387680 609370 1240657 4208248 439599 1763042 442502 1468738 
3979429 3867165 3593952 689972 4451267 4330066 4155546 477101 2026779 3585352 ,3979429 689972 4451267 4330066 2026779 3635180 1840562 1034315 398339 4055394 
8255 346981 1894555 4710394 1394007 294972 3283946 2652955 59707 1039719 ,8255 294972 160206 2416608 42816 67064 2461693 184804 3158567 876395 
1131125 422420 4856091 591462 3469375 4338235 4390231 4581963 4853839 1125269 ,1131125 3469375 4390231 4581963 1125269 4472174 2696168 4265927 4810702 3562916 
2658250 4069365 928178 284827 2498238 4745104 4609111 2783376 1620693 229327 ,4609111 2783376 1928033 1935809 3450958 1048943 3089625 4414853 4700488 4931106 
4880484 4206924 349637 491539 3794866 329646 877131 237823 2064793 176432 ,611681 1072617 3633263 1106016 326417 690947 347171 3638134 2032885 2070551 
1379124 2017158 2533995 919567 2199303 3667612 3209443 631080 4684328 658922 ,1379124 2017158 658922 4280789 1583483 3145017 2722999 4935457 891406 1628064 
1269305 4491582 2077464 1628732 786518 402482 4833239 4546452 1730139 3787889 ,1628732 3830521 2380762 4997023 1309896 3084075 4167854 440569 4126540 2059989 
4383856 4902856 3937441 1573486 1824790 2477303 3401476 3987404 976295 2047283 ,4902856 1824790 3987404 976295 859934 2511315 2237216 2584028 2752552 4716142 
4136257 1925892 175833 1485531 529170 3179209 571782 2698431 1118784 614764 ,3989162 2611003 512802 418780 2882415 1634114 1574994 1893287 972223 958591 
1165240 242824 4193312 1350925 2843548 2193114 2868443 2869076 2975209 2859666 ,3195310 131082 1507942 3986106 2151095 4605508 512720 833099 2877331 3284671 
2246693 4661354 3471333 1936015 4459792 3885886 4141374 4224516 382617 3024213 ,2246693 4661354 3471333 1936015 4459792 3885886 4141374 382617 1106748 1158850 
1192602 1421273 2145259 966866 2312894 1574938 1657768 3352913 721272 4583056 ,1173606 2699309 3008773 749969 2563466 1404020 2119339 612404 4477066 3720491 
2577140 498757 1059019 3492183 4161827 4250300 1874091 2996736 4559312 2094505 ,4250300 2094505 4081404 1374480 2366818 3745394 3377124 4199935 1664746 3241016 
3266646 749986 3241519 2983484 1211427 998298 2469726 1799413 3443582 3602083 ,2469726 3902154 2512843 2053336 2798838 4682892 4114523 2024828 629967 2386950 
3497068 2015804 2197061 2234922 1831046 1972166 3761930 4338902 3578674 4940342 ,3578674 3653251 484102 1604310 4420072 4451970 2381436 1902219 3289001 4067226 
4129045 976703 304585 3146246 1490025 3038552 2574484 1889819 2593073 333337 ,4129045 3146246 1490025 2593073 4511964 3562035 15980 4406088 1690361 1626305 
4567672 4255448 1659361 2310893 4648847 2403978 4430980 3202797 1852615 4239280 ,4255448 4648847 2403978 4430980 3202797 2500606 561727 1049883 3800439 809102 
2191947 4556295 4608414 4714585 741983 1370740 1211138 2552764 488514 3697285 ,1867905 1589058 3481051 3149135 4812760 1571200 3169497 3854665 3779100 2258381 
2873092 1625318 3805334 4091155 2209150 4253146 3483070 4511870 4939355 1414149 ,2209150 3483070 4511870 4939355 1414149 4726819 2157556 712020 3816810 843166 
747801 4110396 778842 1715774 3696273 3483884 477221 1151835 4908612 3600249 ,1715774 3389080 4666305 3675303 4575618 2115863 3566726 3015561 706014 4155507 
2713705 4777457 3967738 3724920 1561007 1148148 3906569 2128829 4663548 3053053 ,3053053 679206 4668054 2214012 3193272 3828357 605296 438361 3363085 2617377 
3571244 4647725 3875270 4339049 2940367 3498060 2685380 2810427 4230679 2890987 ,3571244 3498060 1583147 2063313 1413572 3233241 4831455 3501704 4860846 2295303 
370713 335066 1328329 103112 127599 142544 188520 1108238 2954751 2305621 ,335066 103112 142544 188520 1108238 64275 279756 173207 14109 294141 
2847431 964167 4870992 2170125 2824279 696752 519380 1058479 4325499 3109805 ,3055903 4504029 2597417 4292422 3451911 3580891 3412525 1241548 1679449 1246456 
2163782 1977039 4359938 593107 3179479 2127581 3902702 2426224 2510712 948001 ,593107 1743962 2740579 560210 1571098 2095240 749373 2178643 659001 2416538 
3003109 701845 826881 4012669 2034794 2697760 3577919 428960 4092881 4705537 ,3003109 826881 4012669 3577919 4705537 3908839 3814203 2727720 4951868 1282844 
685192 3861502 4748318 4335355 2374291 1614067 2178948 3050650 2132279 2453147 ,3861502 3050650 3496694 3095687 4117742 4291575 1099127 595792 1154240 647772 
