L,Cmps,QPS,Recall
1700,19148,87.5274,75.25
1400,16994,99.7506,71.5
1100,14547,120.12,68.25
1000,13603,126.984,67.5
900,12673,140.351,66
800,11653,150.943,65.75
700,10592,167.364,65.25
600,9464,187.793,63
500,8201,220.994,60.75
400,6887,258.065,58.25
300,5446,320,53
250,4714,377.358,50
200,3933,481.928,45.25
180,3607,519.481,43.5
160,3274,555.556,43.5
140,2929,615.385,42.25
120,2603,701.754,39
100,2266,800,37
90,2091,869.565,33.25
80,1853,1000,29
70,1676,1081.08,28
60,1466,1250,26.75
55,1368,1333.33,26.25
50,1249,1481.48,26
45,1152,1600,25
40,1045,1739.13,23.75
35,934,2000,20.75
30,826,2222.22,20.25
25,725,2666.67,19.5
20,624,3076.92,19.25
15,494,4000,17.75
10,375,5000,13.25
