GT,Result
28395 36652 310749 284023 365197 2945 111515 244351 385669 184630 ,28395 36652 310749 284023 365197 2945 111515 244351 385669 184630 
586 442984 429903 911838 900550 445942 598125 432972 432378 439847 ,586 442984 429903 911838 900550 445942 598125 432972 432378 600110 
48971 201445 37464 197075 347247 101564 17845 796163 200659 912078 ,370481 601394 434719 903710 385902 433548 439581 599455 911189 598666 
17669 879436 607689 901986 897468 378250 902208 445679 436661 899439 ,17669 879436 607689 901986 897468 378250 902208 436661 392461 392706 
10748 400077 256153 736874 347129 286161 118866 66203 97981 323965 ,118866 66203 888942 50705 4051 71152 238554 629693 445256 604600 
47505 443433 904662 603897 435384 606664 608724 606421 446276 445927 ,443433 904662 603897 435384 608724 606421 445927 436210 898521 606087 
31659 361218 253371 316153 200058 40312 366172 836373 256842 174891 ,361218 253371 200058 40312 366172 171240 2415 206895 170407 291227 
9304 308585 294345 479183 156748 677752 349134 102076 759891 186647 ,308585 294345 156748 349134 186647 362543 221711 343316 311751 176806 
22357 168585 390676 321496 442464 385841 445986 607151 609934 911999 ,168585 390676 445986 609934 911999 901298 901183 598114 434764 435770 
10673 53199 25513 241410 206522 788760 213363 251093 153233 56962 ,51491 766080 29354 25605 207686 365743 443467 434392 390805 379614 
40817 165319 300477 387282 77126 63644 267242 308270 262554 118368 ,165319 300477 387282 77126 63644 267242 308270 262554 118368 166320 
29880 136351 33057 219262 163403 110606 225159 49201 180603 311387 ,311387 356201 781081 600330 596142 603454 441835 910655 380335 28332 
14964 99275 362945 432529 898637 605255 903197 910174 898750 437482 ,898637 605255 903197 910174 898750 437482 432901 913542 376165 387849 
13744 598514 596257 913623 385211 376655 606029 380066 902687 594696 ,13744 596257 913623 385211 376655 606029 902687 914008 381347 596517 
12535 903452 596477 606130 429637 430481 391784 605724 429921 438090 ,596477 606130 429637 906891 393165 591715 384769 430193 604236 377988 
45254 280599 261920 379620 897907 914128 897350 905476 909979 595593 ,897907 914128 897350 905476 909979 595593 603900 431415 431785 607055 
36847 979942 696744 811553 734252 969030 525155 662957 898639 593205 ,811553 525155 644122 384793 431044 609895 393566 594807 593530 443597 
29678 914064 378560 378518 437255 380074 385417 897365 897942 603417 ,914064 378518 380074 385417 897365 897942 381880 387348 439939 906036 
16564 208244 393566 602932 441038 439036 602297 383040 384323 441560 ,208244 393566 439036 602297 383040 384323 440287 591904 905078 605215 
30401 902247 434045 913313 393589 609213 436200 901393 592337 384844 ,913313 393589 436200 378174 443578 899760 444411 442211 393930 908019 
20795 120387 256494 469885 18731 829504 294632 277750 79992 694019 ,120387 256494 469885 18731 829504 294632 277750 79992 203132 86439 
40944 76785 8345 8905 978812 138159 699391 143050 34725 4982 ,76785 978812 143050 646744 301836 127288 342655 388664 40036 390633 
39881 131844 287822 302139 195012 284336 211027 137434 146548 193118 ,193118 393186 387091 909335 443898 901304 378470 446227 910893 600249 
44836 133801 509920 217613 384730 271718 914529 431408 904828 393942 ,44836 133801 217613 384730 271718 914529 904828 896767 904830 905994 
4933 269668 152898 83265 9738 50869 6031 104868 267262 74011 ,50869 336664 333724 598662 510471 609854 389530 378966 393994 224965 
4793 256618 463006 330389 313251 157192 21494 176283 35059 630211 ,21494 630211 91058 108374 289948 343433 42973 616384 594363 897320 
11487 330267 47099 313530 319500 92758 353686 230764 77734 269668 ,11487 330267 47099 313530 319500 92758 230764 77734 269668 104868 
18967 596796 905801 607055 378268 906741 594878 386136 388239 447805 ,596796 607055 378268 906741 594878 386136 447805 432535 386710 908992 
1099 597560 594239 440917 439591 446446 445177 430467 601470 436343 ,597560 594239 440917 439591 446446 445177 430467 601470 905146 596209 
15340 251932 311137 67701 42973 173939 582651 319053 348950 302651 ,15340 311137 67701 42973 173939 319053 348950 302651 309826 360926 
44264 61044 219041 67482 639954 524456 319117 50511 223496 542909 ,44264 61044 219041 67482 639954 319117 50511 223496 542909 235839 
14678 6300 297712 121482 311988 253119 219413 118611 233437 300024 ,253119 219413 300024 337533 37435 307220 29440 147357 430359 369714 
24655 137620 280631 759165 624695 135395 226259 80407 153309 596226 ,226259 596226 907561 380450 186647 385249 444111 445633 911999 170364 
7982 77775 676706 902827 430663 262695 27947 48823 819072 96670 ,295744 125155 958625 158272 110398 46333 296463 79934 334418 129027 
47743 379951 433085 446381 439076 444757 440312 900592 384691 911823 ,444757 900592 384691 911823 897983 607612 910613 597839 609212 603831 
42135 915618 94787 47312 109118 191040 606011 107374 8067 299841 ,107374 606931 442983 914588 392749 908718 434490 911224 903956 382976 
15836 64328 853534 269899 133696 165418 82002 18146 318332 5060 ,165418 18146 318332 128543 121392 233625 242606 157838 133137 433921 
38941 620849 369985 47637 54829 894553 45485 172648 352921 213605 ,54829 406112 597511 390818 911907 381797 904719 435546 607467 903947 
34684 267119 310893 207885 198265 908301 911172 443439 370886 606730 ,908301 911172 383862 434016 604920 384668 383632 444825 603438 603297 
34110 144817 924481 87576 436568 439933 376675 911358 383633 605602 ,436568 383633 444050 595171 437867 898733 913631 383862 378929 445236 
