L,Cmps,QPS,Recall
1700,35192,50.4414,68
1400,31693,57.0613,66
1100,27711,66.4452,64
1000,26198,71.048,61.5
900,24513,76.4818,60.25
800,22747,82.8157,58.25
700,21061,90.7029,58.25
600,19020,101.266,57.75
500,16832,114.613,55.25
400,14538,133.779,51.25
300,11809,168.067,48
250,10394,192.308,46.5
200,8905,225.989,45
180,8292,243.902,43.5
160,7522,270.27,41.75
140,6891,291.971,40.5
120,6127,336.134,37.75
100,5416,380.952,35.75
90,5037,412.371,34
80,4642,449.438,32.5
70,4198,487.805,30.75
60,3739,547.945,29.25
55,3513,588.235,28.25
50,3294,625,27.25
45,3065,666.667,27
40,2780,740.741,26.25
35,2552,800,25.5
30,2308,909.091,22.75
25,2033,1052.63,21.75
20,1748,1212.12,20.5
15,1465,1428.57,18.75
10,1087,2000,15.25
