ef,recall,qps,dist_comp
1700,0.41464,26.3366,11177.3
1400,0.41462,35.5141,9801.89
1100,0.41462,50.9398,8313.87
1000,0.41459,58.5443,7786.08
900,0.41457,67.9772,7238.31
800,0.41454,80.9806,6669.05
700,0.41451,99.3299,6075.43
600,0.41445,123.876,5451.49
500,0.41436,161.543,4790.54
400,0.41423,223.494,4085.76
300,0.41395,334.377,3321.23
250,0.41362,421.636,2910.22
200,0.41306,572.577,2474.48
180,0.41273,654.377,2291.33
160,0.41236,771.972,2102.41
140,0.41176,910.4,1906.93
120,0.41092,1110.06,1703.53
100,0.40981,1323.94,1491.17
90,0.40896,1499.15,1380.89
80,0.40801,1790.33,1267.94
70,0.40645,1982.14,1151.3
60,0.40433,2331.81,1030.83
55,0.40296,2561.32,969.075
50,0.40131,2963.68,906.17
45,0.39891,3246.12,841.276
40,0.39607,3496.51,775.724
35,0.3925,4214.54,708.775
30,0.38778,4895.72,640.491
25,0.38107,5327.07,570.227
20,0.37135,6900.66,497.74
15,0.35684,8125.61,423.109
10,0.33102,10874.5,343.624
