ef,recall,qps,dist_comp
1700,0.3724,17.5455,12985.6
1400,0.3723,23.221,11563.9
1100,0.3722,31.6554,9980.37
1000,0.3721,36.4226,9405.87
900,0.3721,41.1176,8805.45
800,0.3719,49.2552,8171.08
700,0.3719,57.4857,7503.1
600,0.3716,69.9802,6791.48
500,0.3713,88.3855,6025.29
400,0.3712,121.278,5195.65
300,0.3704,173.148,4278.61
250,0.37,218.775,3775.07
200,0.3685,272.917,3235.6
180,0.3674,308.522,3004.9
160,0.3668,372.191,2766.91
140,0.3656,426.487,2518.31
120,0.3639,486.191,2257.75
100,0.362,626.898,1985.52
90,0.3611,683.854,1842.26
80,0.3594,745.801,1694.25
70,0.3578,926.356,1541.83
60,0.3547,1066.09,1381.87
55,0.353,1083.63,1299.58
50,0.3512,1280.46,1215.53
45,0.3486,1290,1130.71
40,0.3456,1581.94,1044.51
35,0.3412,1798.85,954.125
30,0.3377,2000.72,862.616
25,0.3333,2374.32,769.874
20,0.3256,2794.04,672.584
15,0.3118,3511.3,569.222
10,0.2902,4464.21,463.137
