L,Cmps,QPS,Recall
1700,4099,468.604,99.33
1400,3664,532.481,99.33
1100,3181,620.347,99.32
1000,3007,658.762,99.32
900,2825,702.741,99.32
800,2634,759.878,99.32
700,2432,827.13,99.32
600,2216,916.59,99.32
500,1986,1030.93,99.32
400,1736,1196.17,99.31
300,1457,1453.49,99.29
250,1305,1644.74,99.24
200,1139,1908.4,99.2
180,1069,2053.39,99.2
160,995,2227.17,99.17
140,918,2433.09,99.14
120,837,2717.39,99.11
100,749,3058.1,99.07
90,703,3289.47,99.02
80,655,3558.72,98.96
70,605,3906.25,98.85
60,552,4329,98.78
55,524,4587.16,98.68
50,496,4878.05,98.62
45,466,5235.6,98.43
40,434,5617.98,98.28
35,402,6134.97,98.08
30,369,6756.76,97.78
25,333,7462.69,97.32
20,294,8620.69,96.65
15,253,10204.1,95.5
10,207,12658.2,93.29
