efSearch,recall@10,qps
1700,0.7574,64.48016091683395
1400,0.7485,74.96442398917505
1100,0.735,90.58272954417227
1000,0.7292,97.65685154372316
900,0.7225,106.0663237500693
800,0.7114,116.4192401154988
700,0.6994,129.73951898868438
600,0.6861,146.8466223212581
500,0.6661,170.7894660541715
400,0.6404,205.07623864258161
300,0.6043,260.54603082453883
250,0.5791,303.9601293100808
200,0.5396,369.44929360322357
180,0.521,405.89336465823743
160,0.5001,452.36949761544696
140,0.4764,510.01822371450567
120,0.4505,590.051002900971
100,0.4212,700.9557809098258
90,0.4011,771.9585459011778
80,0.3803,860.7447216310344
70,0.3588,966.4164943403555
60,0.334,1099.5855703137343
55,0.3198,1179.6208252520205
50,0.3062,1278.045095715554
45,0.2911,1387.1619744179197
40,0.274,1526.326465825646
35,0.2561,1689.7448926562242
30,0.2383,1883.447322300609
25,0.2168,2142.449679674248
20,0.1939,2488.712054001854
15,0.1639,2994.1316695168534
10,0.1277,3871.2113039080705
