efSearch,recall@10,qps
1700,0.99999,178.42724495584812
1400,0.99994,216.49337554805052
1100,0.99993,259.4790090086699
1000,0.9999,278.45126612249885
900,0.99988,300.5148180560705
800,0.99981,327.38400543036425
700,0.99968,360.6429847921502
600,0.99954,401.37367898778126
500,0.99926,456.73633941807935
400,0.9986,534.3172451986024
300,0.99748,653.5929551927211
250,0.99615,745.7981069792442
200,0.9936,882.0827208136434
180,0.99191,957.089366557276
160,0.98985,1046.3238336672227
140,0.98685,1166.2115394712823
120,0.98235,1323.180091907372
100,0.97574,1532.5383397908038
90,0.9708,1658.0673732704815
80,0.96426,1799.7770111641928
70,0.95603,1984.317705402417
60,0.94425,2197.3862031400527
55,0.9365,2328.3010475216765
50,0.92761,2466.814251296671
45,0.9164,2635.1207069911416
40,0.90407,2828.8118570448432
35,0.88694,3059.994941031789
30,0.86577,3333.516363402687
25,0.83844,3656.583338892218
20,0.80247,4082.697443890889
15,0.74823,4645.783928046707
10,0.66529,5449.871377343775
