efSearch,recall@10,qps
1700,0.1189,114.08108755983766
1400,0.117,134.82285035943428
1100,0.1161,163.8648410235773
1000,0.1161,177.1599141054636
900,0.1159,192.8262323056812
800,0.115,211.46306905061667
700,0.1149,234.0913139517173
600,0.1133,264.4178859719144
500,0.1115,304.81115007414536
400,0.1078,360.2302163863498
300,0.1025,448.7889655751823
250,0.0998,517.4215587832126
200,0.0948,618.0817480263878
180,0.0921,669.1084615740053
160,0.089,739.2189533886562
140,0.0834,820.5538653602933
120,0.0768,939.270416429687
100,0.0717,1089.0774538909768
90,0.0678,1186.8610428317331
80,0.0641,1295.9105234393985
70,0.0583,1433.1129225467903
60,0.0542,1589.1409725809485
55,0.0523,1688.6119349395672
50,0.0507,1792.3529079224434
45,0.0486,1925.939891882467
40,0.0468,2063.632708894041
35,0.045,2248.044833663213
30,0.0422,2450.5786292334983
25,0.0384,2693.765378770533
20,0.0347,2964.6278274909932
15,0.0311,3481.491766738799
10,0.0249,4104.79864507163
