efSearch,recall@10,qps
1700,0.2735,136.10407592522228
1400,0.2718,157.3073723736575
1100,0.2702,189.46480963912873
1000,0.2698,203.74981190763458
900,0.2694,220.67626864233068
800,0.2688,242.07073458956788
700,0.2665,268.1299064786864
600,0.2625,302.68597590241194
500,0.2581,349.7093474577995
400,0.2512,416.7341704713085
300,0.2428,523.0322951018406
250,0.2347,606.014749496537
200,0.2212,733.0929989542519
180,0.2131,802.3928916219376
160,0.2066,890.4773810474427
140,0.1965,1011.9812160549257
120,0.184,1165.9070357567973
100,0.1663,1394.2258459120756
90,0.1582,1542.2169720838842
80,0.1472,1714.0417051791057
70,0.1373,1928.6977566222536
60,0.1246,2222.985061500134
55,0.1188,2396.2776547611024
50,0.1107,2581.387068110468
45,0.1028,2788.8039959919006
40,0.0962,3015.05947399272
35,0.0878,3371.8311026027795
30,0.0789,3660.653484585198
25,0.069,4169.94095707
20,0.0584,4840.880850591553
15,0.0483,5722.367199510245
10,0.0357,6981.151191185953
