ef,recall,qps
2000,0.9995,23.1
1900,0.9995,22.1
1800,0.9995,22.9
1700,0.9995,20.9
1600,0.9995,16.3
1500,0.9995,16.7
1400,0.9995,16.8
1300,0.9995,17.1
1200,0.9995,16.9
1100,0.9995,17.4
1000,0.9995,17.6
900,0.9995,17.8
800,0.9995,17.8
700,0.9995,18.0
600,0.9995,18.6
500,0.9995,18.7
400,0.9995,18.5
300,0.9999,18.7
250,1.0000,18.1
200,1.0000,17.5
180,1.0000,17.2
160,1.0000,18.1
140,1.0000,16.5
120,1.0000,16.2
100,1.0000,16.9
90,1.0000,15.6
80,1.0000,15.7
70,1.0000,15.7
60,1.0000,15.7
55,0.9999,15.4
50,0.9998,15.6
45,0.9999,15.2
40,0.9998,15.7
35,0.9999,15.5
30,0.9999,15.2
25,0.9995,15.2
20,0.9993,15.4
15,0.9987,15.3
10,0.9977,15.4
