ef_search,recall,qps
2000,0.9993,6.0
1900,0.9993,5.7
1800,0.9993,5.8
1700,0.9993,5.7
1600,0.9993,5.7
1500,0.9993,5.8
1400,0.9993,5.8
1300,0.9993,5.6
1200,0.9993,6.0
1100,0.9993,6.4
1000,0.9993,6.3
900,0.9837,9.6
800,0.9242,12.2
700,0.8752,13.9
600,0.8201,16.0
500,0.7794,17.7
400,0.7348,19.4
300,0.6820,22.0
250,0.6502,23.3
200,0.6138,24.6
180,0.5940,25.5
160,0.5758,26.2
140,0.5566,26.5
120,0.5391,27.1
100,0.5154,28.6
90,0.5022,28.6
80,0.4878,28.5
70,0.4704,28.7
60,0.4541,28.9
55,0.4428,29.2
50,0.4290,29.7
45,0.4186,29.9
40,0.4036,30.7
35,0.3873,30.9
30,0.3706,31.1
25,0.3513,31.1
20,0.3307,31.2
15,0.3056,31.8
10,0.2656,32.2
