ef_search,recall,qps
2000,0.9977,14.9
1900,0.9977,15.0
1800,0.9977,15.2
1700,0.9977,15.3
1600,0.9977,15.3
1500,0.9977,15.2
1400,0.9977,15.2
1300,0.9977,15.1
1200,0.9977,15.3
1100,0.9977,15.2
1000,0.9977,15.3
900,0.9975,16.6
800,0.9972,18.3
700,0.9969,19.9
600,0.9960,22.7
500,0.9960,2.5
400,0.9947,4.7
300,0.9885,19.2
250,0.9831,42.7
200,0.9761,50.7
180,0.9717,55.1
160,0.9663,60.5
140,0.9583,66.5
120,0.9470,74.0
100,0.9311,85.0
90,0.9213,91.9
80,0.9095,98.8
70,0.8926,108.6
60,0.8733,120.6
55,0.8619,125.7
50,0.8474,134.2
45,0.8316,142.7
40,0.8127,155.3
35,0.7897,163.3
30,0.7612,176.9
25,0.7259,209.9
20,0.6757,220.1
15,0.6151,315.2
10,0.5040,363.2
