efSearch,recall@10,qps
1700,0.9538,1.43581
1400,0.9539,1.563
1100,0.9539,1.62594
1000,0.9538,1.65248
900,0.9538,1.71763
800,0.9538,1.80084
700,0.9538,1.85212
600,0.9538,1.91354
500,0.9539,2.00454
400,0.9536,2.12579
300,0.9536,2.29895
250,0.9535,2.45171
200,0.9535,2.61425
180,0.9536,2.69942
160,0.9535,2.80149
140,0.9533,2.92712
120,0.9534,3.07926
100,0.953,3.28156
90,0.953,3.41179
80,0.9528,3.57416
70,0.9526,3.77308
60,0.9522,4.01871
55,0.9523,4.16779
50,0.9518,4.34291
45,0.9509,4.55947
40,0.9508,4.81344
35,0.9506,5.11682
30,0.9499,5.52628
25,0.9487,6.10331
20,0.9464,6.85815
15,0.9425,8.12641
10,0.9325,10.7869
