efSearch,recall@10,qps
1700,0.99984,8.56964
1400,0.99984,8.77648
1100,0.99984,8.24572
1000,0.99984,8.4427
900,0.99984,8.87617
800,0.99979,10.0413
700,0.99978,10.9576
600,0.99972,12.0531
500,0.99977,13.4876
400,0.9997,15.6781
300,0.99954,18.6129
250,0.99946,20.5351
200,0.99923,23.7065
180,0.99901,25.5223
160,0.9988,22.5423
140,0.99847,29.6923
120,0.99786,32.7407
100,0.99692,36.8982
90,0.9964,39.5178
80,0.99543,42.795
70,0.99429,38.8172
60,0.99232,51.8288
55,0.99108,53.9459
50,0.9897,57.5562
45,0.98786,61.7095
40,0.98532,67.9057
35,0.98183,75.0657
30,0.97705,83.6532
25,0.97079,93.3478
20,0.9601,115.73
15,0.94286,143.977
10,0.90857,202.361
