efSearch,recall@10,qps
1700,0.9936,68.5442
1400,0.9933,79.4875
1100,0.9934,95.4181
1000,0.9928,104.124
900,0.9924,112.527
800,0.9929,121.014
700,0.9918,134.509
600,0.9921,149.41
500,0.9909,170.953
400,0.9918,196.363
300,0.991,241.191
250,0.9911,270.668
200,0.9898,306.337
180,0.99,325.61
160,0.9897,353.195
140,0.9869,390.653
120,0.9868,436.736
100,0.9847,486.956
90,0.984,525.57
80,0.9825,572.322
70,0.9804,618.508
60,0.9785,671.055
55,0.9768,731.487
50,0.9757,775.485
45,0.9737,829.678
40,0.9716,900.255
35,0.9671,988.056
30,0.9631,1101.9
25,0.9568,1249.05
20,0.9483,1408.07
15,0.9354,1656.15
10,0.9099,2120.71
