efSearch,recall@10,qps
1700,0.7145,2.11184
1400,0.713,2.28028
1100,0.708,2.2866
1000,0.708,2.62436
900,0.707,2.33278
800,0.703,2.37551
700,0.699,2.48123
600,0.6965,2.75048
500,0.6925,2.83586
400,0.683,3.34302
300,0.661,3.44836
250,0.634,3.86923
200,0.621,4.37547
180,0.61,4.5307
160,0.6025,4.87806
140,0.5945,5.31255
120,0.5805,5.72118
100,0.554,6.48512
90,0.542,7.16213
80,0.5275,7.57389
70,0.52,8.30534
60,0.496,9.30248
55,0.49,9.92902
50,0.4815,10.5431
45,0.4675,11.3869
40,0.46,12.3055
35,0.438,13.6022
30,0.4265,14.9826
25,0.413,17.2402
20,0.4025,20.4875
15,0.3815,25.6476
10,0.34,34.3488
