L,Cmps,QPS,Recall
1700,46.00,40597.20,99.84
1400,46.00,49527.60,99.84
1100,46.00,57594.05,99.84
1000,46.00,58623.45,99.84
900,46.00,58722.52,99.84
800,46.00,59023.44,99.84
700,46.00,46743.17,99.84
600,46.00,53504.29,99.84
500,46.00,54319.37,99.84
400,46.00,54262.19,99.84
300,46.00,54478.50,99.84
250,46.00,54851.87,99.84
200,46.00,54963.89,99.84
180,46.00,55040.30,99.84
160,46.00,55138.95,99.84
140,45.00,55270.68,99.84
120,45.00,55420.23,99.84
100,45.00,55444.73,99.84
90,45.00,55300.17,99.84
80,45.00,55358.33,99.84
70,45.00,56000.82,99.84
60,45.00,56757.27,99.84
55,45.00,57354.22,99.84
50,45.00,57463.40,99.84
45,45.00,57920.83,99.84
40,45.00,58742.25,99.84
35,45.00,59316.87,99.84
30,45.00,60550.69,99.84
25,45.00,62091.31,99.80
20,45.00,63984.61,99.78
15,44.00,67312.63,99.55
10,42.00,73015.04,99.05
