ef,recall,qps,dist_comp
1700,0.79974,193.135,3058.49
1400,0.78936,211.761,2617.73
1100,0.77527,351.118,2156.71
1000,0.76943,395.66,1997.89
900,0.76267,455.147,1835.78
800,0.75429,525.309,1670.95
700,0.74467,621.366,1502.66
600,0.73343,750.226,1330.39
500,0.71911,916.125,1153
400,0.70166,1181.17,970.881
300,0.67874,1567.78,781.471
250,0.66338,1872.54,683.09
200,0.64418,2279.82,581.607
180,0.63468,2475.16,540.189
160,0.62411,2705.04,498.316
140,0.61201,3044.8,455.326
120,0.59809,3385.65,411.371
100,0.58016,3830.57,366.303
90,0.56909,4157.99,343.033
80,0.55786,4485.67,319.878
70,0.54415,4762.59,295.899
60,0.52839,5215.87,271.162
55,0.51872,5523.15,258.487
50,0.50821,5806.32,245.663
45,0.49629,6059.4,232.341
40,0.48276,6478.33,218.178
35,0.4676,6844.12,203.787
30,0.45045,7330.92,189.076
25,0.43124,7775.35,173.359
20,0.4079,8552.43,156.328
15,0.37906,9364.92,137.608
10,0.33947,10641.3,115.135
