Loaded fvecs: 10000 vectors of dimension 192 from /root/work/others/big-ann-benchmarks/data/yfcc10M_converted/query.10K.fvecs
Loaded label sets: 10000
Loaded label sets: 10000000
Loaded fvecs: 10000000 vectors of dimension 192 from /root/work/others/big-ann-benchmarks/data/yfcc10M_converted/base.10M.fvecs
Rebuilding two-tier inverted index for 5333300 labelsets...
Found 65536 unique labels
Two-tier index configuration:
  Tier 1 (dense): 157 labels (freq >= 27741)
  Tier 2 (sparse): 65379 labels
  Tier 1 memory: 0.097478 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 10000
Example: first query has 10
6834301,2682584,3095169,3121342,9040451,3461613,5596776,5796720,3022048,620327,
ef,recall,qps,dist_comp,hops
20000,0.95343,44.599,21960.1,5770.94
15000,0.95004,55.3001,18688.9,4629.92
10000,0.94459,74.0625,14741.6,3426.07
5000,0.93212,123.047,9614.08,1999.84
2500,0.90694,207.724,5991.3,1142.86
2000,0.89542,245.94,5095.61,955.409
1700,0.88625,278.357,4521.01,838.05
1400,0.87497,316.591,3911.18,715.813
1100,0.85912,381.951,3259.98,588.58
1000,0.85312,414.026,3031.53,544.785
900,0.84587,450.557,2795.62,500.249
800,0.83666,490.486,2551.97,454.883
700,0.82617,538.569,2301.4,408.538
600,0.8134,600.633,2041.21,360.941
500,0.79688,681.651,1770.03,311.823
400,0.77651,792.13,1484.75,260.724
300,0.74572,956.787,1185.63,207.158
250,0.72562,1073.6,1026.88,178.876
200,0.69846,1232.95,862.788,149.586
180,0.68412,1314.83,795.328,137.489
160,0.66969,1410.6,726.033,125.091
140,0.65215,1521.73,655.548,112.519
120,0.63122,1660.21,582.676,99.47
100,0.60463,1833,507.787,85.9645
90,0.5892,1940.33,468.095,78.9525
80,0.57261,2060.03,429.829,72.0048
70,0.55136,2203.61,387.861,64.5744
60,0.53342,2365.54,347.168,57.1398
55,0.52728,2445.24,327.259,53.429
50,0.52036,2531.46,306.247,49.6004
45,0.51301,2628.5,285.94,45.7054
40,0.50405,2736.96,264.06,41.6105
35,0.49403,2861.88,241.535,37.3382
30,0.48654,2944.64,227.825,34.5738
25,0.48638,2949.44,227.783,34.3611
20,0.48604,2953.51,227.741,34.164
15,0.48528,2958.53,227.693,33.9705
10,0.48476,2960.01,227.659,33.8377
