efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.2723,413.365,31.3698,661.24
1400,0.2718,471.639,31.6668,571.716
1100,0.2705,605.375,32.1435,486.421
1000,0.2696,656.512,32.277,455.708
900,0.2693,717.382,32.4122,422.353
800,0.2677,793.981,32.5541,387.526
700,0.2631,892.553,32.7022,350.533
600,0.2602,1020.07,32.8527,310.736
500,0.2574,1195.71,33.0088,270.497
400,0.2551,1444.26,33.1664,228.169
300,0.2508,1838.94,33.3307,184.666
250,0.2476,2145.01,33.4171,162.018
200,0.2377,2557.83,33.5013,138.306
180,0.2328,2790.72,33.538,128.658
160,0.2316,3081.42,33.5761,118.434
140,0.2275,3433.23,33.6136,108.193
120,0.2198,3884.05,33.6518,97.136
100,0.2108,4501.22,33.6919,86.073
90,0.2033,4879.21,33.7114,80.299
80,0.1978,5341.23,33.7316,74.522
70,0.1896,5887.41,33.7514,68.64
60,0.1763,6606.64,33.7724,61.968
55,0.1711,7046.06,33.7832,58.597
50,0.1648,7641.18,33.7958,55.038
45,0.156,8231.53,33.8065,51.511
40,0.1462,8963.22,33.8179,47.777
35,0.1339,9867.88,33.8296,43.871
30,0.1211,10952.9,33.8411,39.855
25,0.1087,12400.2,33.8533,35.547
20,0.0959,14275.7,33.8654,31.136
15,0.0807,16544.3,33.8764,26.392
10,0.0562,20500.6,33.8898,21.234
