efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.015,6452.32,93.5095,43.275
1400,0.015,6835.5,93.5856,43.275
1100,0.015,7596.13,93.714,41.441
1000,0.015,8134.06,93.7906,39.743
900,0.015,8867.62,93.8801,37.57
800,0.015,9654.84,93.9612,35.347
700,0.015,10499.9,94.0349,32.649
600,0.015,11673.3,94.1196,29.685
500,0.015,13136.6,94.2042,26.42
400,0.0139,15031,94.2894,23.201
300,0.0139,17615.5,94.3763,19.709
250,0.0139,19211.9,94.4183,17.705
200,0.0139,21073.9,94.4593,15.828
180,0.0139,22028.4,94.4777,15.003
160,0.0139,23184.1,94.4979,14.065
140,0.0139,24371.3,94.5166,13.181
120,0.0139,25769.9,94.5365,12.263
100,0.0138,27663.3,94.5603,11.193
90,0.0138,28578.8,94.5706,10.68
80,0.0129,29878.4,94.5843,10.05
70,0.0129,31298.9,94.5978,9.407
60,0.0129,32970.7,94.6123,8.674
55,0.0127,33899.4,94.6198,8.307
50,0.0125,35036.3,94.6284,7.951
45,0.0121,36080.3,94.6358,7.617
40,0.0119,37177.3,94.6431,7.248
35,0.0111,36900.6,94.6413,6.819
30,0.0101,39793,94.6589,6.385
25,0.0087,41377,94.6675,5.982
20,0.0084,43159.3,94.6765,5.457
15,0.0072,45521,94.6873,4.928
10,0.0056,48271.4,94.6985,4.21
